configuration,seed,true_role,count,mean,sample_std
residual_complete,20260727,gangue_negative,366,0.04928354371584699,0.15561323431140742
residual_complete,20260727,metallic_hard_negative,176,0.19163839204545455,0.2947114593592078
residual_complete,20260727,target_mineral,251,0.7232564223107569,0.3465436434989465
residual_complete,20260727,ti_bearing_negative,491,0.2038766883910387,0.29355598293899626
residual_complete,20260728,gangue_negative,366,0.06972393989071038,0.15705616701543412
residual_complete,20260728,metallic_hard_negative,176,0.30369593181818183,0.34672487333918706
residual_complete,20260728,target_mineral,251,0.773193609561753,0.32309250439784415
residual_complete,20260728,ti_bearing_negative,491,0.21171512016293279,0.3043200532228177
residual_complete,20260729,gangue_negative,366,0.06597085792349727,0.1858744107927068
residual_complete,20260729,metallic_hard_negative,176,0.4177889375,0.3859383217274588
residual_complete,20260729,target_mineral,251,0.8093250876494024,0.3103889297824268
residual_complete,20260729,ti_bearing_negative,491,0.2443294032586558,0.3454301792063262
equal_fusion,20260727,gangue_negative,366,0.5,0.0
equal_fusion,20260727,metallic_hard_negative,176,0.5,0.0
equal_fusion,20260727,target_mineral,251,0.5,0.0
equal_fusion,20260727,ti_bearing_negative,491,0.5,0.0
equal_fusion,20260728,gangue_negative,366,0.5,0.0
equal_fusion,20260728,metallic_hard_negative,176,0.5,0.0
equal_fusion,20260728,target_mineral,251,0.5,0.0
equal_fusion,20260728,ti_bearing_negative,491,0.5,0.0
equal_fusion,20260729,gangue_negative,366,0.5,0.0
equal_fusion,20260729,metallic_hard_negative,176,0.5,0.0
equal_fusion,20260729,target_mineral,251,0.5,0.0
equal_fusion,20260729,ti_bearing_negative,491,0.5,0.0
no_contrast,20260727,gangue_negative,366,0.037069475409836065,0.1315498935854292
no_contrast,20260727,metallic_hard_negative,176,0.1463195909090909,0.2721118298926858
no_contrast,20260727,target_mineral,251,0.6598593107569721,0.37172707874462824
no_contrast,20260727,ti_bearing_negative,491,0.15295677189409368,0.26369557254765896
no_contrast,20260728,gangue_negative,366,0.05048527049180328,0.139527263313517
no_contrast,20260728,metallic_hard_negative,176,0.2895668181818182,0.3506703021977211
no_contrast,20260728,target_mineral,251,0.7283259243027889,0.3480436606264654
no_contrast,20260728,ti_bearing_negative,491,0.17374191853360488,0.2836452034762642
no_contrast,20260729,gangue_negative,366,0.09026471857923497,0.19829113074797275
no_contrast,20260729,metallic_hard_negative,176,0.3837325909090909,0.35444606620066066
no_contrast,20260729,target_mineral,251,0.7940576215139442,0.3013523483533058
no_contrast,20260729,ti_bearing_negative,491,0.24727012219959266,0.33139996819930956
decoupled_residual,20260727,gangue_negative,366,0.28949261202185794,0.2759761431187159
decoupled_residual,20260727,metallic_hard_negative,176,0.6861064772727272,0.3088660053469318
decoupled_residual,20260727,target_mineral,251,0.9394217330677291,0.13020329688841395
decoupled_residual,20260727,ti_bearing_negative,491,0.7302327596741344,0.29800820126367583
decoupled_residual,20260728,gangue_negative,366,0.05358386612021858,0.15178550784520195
decoupled_residual,20260728,metallic_hard_negative,176,0.21254903409090908,0.30653165323086057
decoupled_residual,20260728,target_mineral,251,0.6962562629482072,0.3488024941264534
decoupled_residual,20260728,ti_bearing_negative,491,0.1851759063136456,0.27542203683527805
decoupled_residual,20260729,gangue_negative,366,0.25524287431693987,0.22240137872121316
decoupled_residual,20260729,metallic_hard_negative,176,0.755198,0.22079159812290994
decoupled_residual,20260729,target_mineral,251,0.8644429561752988,0.17932841734630367
decoupled_residual,20260729,ti_bearing_negative,491,0.6367133523421589,0.2837697098786197
gate_only,20260727,gangue_negative,366,0.028288816939890712,0.11475029859525701
gate_only,20260727,metallic_hard_negative,176,0.09319607386363636,0.24166345904193814
gate_only,20260727,target_mineral,251,0.635846577689243,0.3857063731883684
gate_only,20260727,ti_bearing_negative,491,0.08314339307535641,0.1961806183326422
gate_only,20260728,gangue_negative,366,0.07345438797814208,0.18622559752145157
gate_only,20260728,metallic_hard_negative,176,0.19637627840909092,0.3023992622441242
gate_only,20260728,target_mineral,251,0.7023505338645418,0.36112189012440915
gate_only,20260728,ti_bearing_negative,491,0.15941959063136457,0.26830229730364535
gate_only,20260729,gangue_negative,366,0.019891330601092896,0.09129816676604788
gate_only,20260729,metallic_hard_negative,176,0.08284451704545455,0.20368900052826963
gate_only,20260729,target_mineral,251,0.39472023505976095,0.3575043540940397
gate_only,20260729,ti_bearing_negative,491,0.04943267617107943,0.1370252451092127
complete,20260727,gangue_negative,366,0.07271915300546448,0.19784726202599318
complete,20260727,metallic_hard_negative,176,0.4847379659090909,0.3981208128332604
complete,20260727,target_mineral,251,0.8507344940239043,0.2789987036573521
complete,20260727,ti_bearing_negative,491,0.35747281466395114,0.390162708843804
complete,20260728,gangue_negative,366,0.9932806584699454,0.030101016751057117
complete,20260728,metallic_hard_negative,176,0.9986001647727273,0.010712445385550818
complete,20260728,target_mineral,251,0.9976297450199203,0.02215341649206111
complete,20260728,ti_bearing_negative,491,0.997256633401222,0.016901685073340833
complete,20260729,gangue_negative,366,0.541094043715847,0.29556358911132
complete,20260729,metallic_hard_negative,176,0.9580932840909091,0.10925176343447134
complete,20260729,target_mineral,251,0.9450180079681275,0.12343348267866355
complete,20260729,ti_bearing_negative,491,0.7705044032586558,0.2631891532565782
