configuration,seed,verifier,eligible_count,target_count,negative_count,roc_auc
residual_complete,20260727,ti,742,251,491,0.9125169383565533
residual_complete,20260727,metallic,427,251,176,0.9164931184353495
residual_complete,20260728,ti,742,251,491,0.9086708157187948
residual_complete,20260728,metallic,427,251,176,0.9187115175660991
residual_complete,20260729,ti,742,251,491,0.910971186536948
residual_complete,20260729,metallic,427,251,176,0.9240990583122057
equal_fusion,20260727,ti,742,251,491,0.906686898029065
equal_fusion,20260727,metallic,427,251,176,0.909181455994205
equal_fusion,20260728,ti,742,251,491,0.9076078577746043
equal_fusion,20260728,metallic,427,251,176,0.9180210974284678
equal_fusion,20260729,ti,742,251,491,0.9082651065797909
equal_fusion,20260729,metallic,427,251,176,0.9192321622600507
no_contrast,20260727,ti,742,251,491,0.904991033828028
no_contrast,20260727,metallic,427,251,176,0.9142973560304238
no_contrast,20260728,ti,742,251,491,0.9108332454296866
no_contrast,20260728,metallic,427,251,176,0.9194924846070264
no_contrast,20260729,ti,742,251,491,0.910496506844313
no_contrast,20260729,metallic,427,251,176,0.9265325063382833
decoupled_residual,20260727,ti,742,251,491,0.9257471133794759
decoupled_residual,20260727,metallic,427,251,176,0.9185983339369792
decoupled_residual,20260728,ti,742,251,491,0.9144643422237729
decoupled_residual,20260728,metallic,427,251,176,0.9211789206809128
decoupled_residual,20260729,ti,742,251,491,0.917073051987569
decoupled_residual,20260729,metallic,427,251,176,0.898496921405288
gate_only,20260727,ti,742,251,491,0.4442920781233518
gate_only,20260727,metallic,427,251,176,0.582997555233611
gate_only,20260728,ti,742,251,491,0.7051711686857459
gate_only,20260728,metallic,427,251,176,0.5109788120246288
gate_only,20260729,ti,742,251,491,0.5468310059152393
gate_only,20260729,metallic,427,251,176,0.39633511408909816
complete,20260727,ti,742,251,491,0.9067436973085256
complete,20260727,metallic,427,251,176,0.9113432633103948
complete,20260728,ti,742,251,491,0.9124885387168231
complete,20260728,metallic,427,251,176,0.9182927381383557
complete,20260729,ti,742,251,491,0.9114134094984624
complete,20260729,metallic,427,251,176,0.9238500543281419
