reference,comparison,metric,reference_mean,comparison_mean,difference,favorable_direction,oriented_improvement
hrgv_reference,rsg_complete,accuracy,0.7671339563862928,0.7632398753894081,-0.003894080996884708,1,-0.003894080996884708
hrgv_reference,rsg_complete,macro_f1,0.7493888243636889,0.7455702848835618,-0.0038185394801271144,1,-0.0038185394801271144
hrgv_reference,rsg_complete,target_recall,0.7051792828685259,0.7211155378486056,0.015936254980079667,1,0.015936254980079667
hrgv_reference,rsg_complete,target_miss_rate,0.29482071713147406,0.2788844621513944,-0.015936254980079667,-1,0.015936254980079667
hrgv_reference,rsg_complete,ti_to_target_intrusion_rate,0.0814663951120163,0.07739307535641547,-0.004073319755600824,-1,0.004073319755600824
hrgv_reference,rsg_complete,metallic_to_target_intrusion_rate,0.10227272727272728,0.11363636363636363,0.011363636363636354,-1,-0.011363636363636354
hrgv_reference,rsg_complete,direct_accuracy,0.7570093457943925,0.7531152647975078,-0.003894080996884708,0,-0.0
hrgv_reference,rsg_complete,mapped_accuracy,0.7609034267912772,0.764797507788162,0.003894080996884819,0,0.0
hrgv_reference,rsg_complete,fused_accuracy,0.7671339563862928,0.7632398753894081,-0.003894080996884708,1,-0.003894080996884708
hrgv_reference,rsg_complete,oracle_accuracy,0.7873831775700935,0.7842679127725857,-0.0031152647975077885,0,-0.0
hrgv_reference,rsg_complete,expert_prediction_disagreement_rate,0.06074766355140187,0.059190031152647975,-0.0015576323987538943,0,-0.0
hrgv_reference,rsg_complete,one_right_one_wrong_rate,0.05685358255451713,0.050623052959501556,-0.006230529595015577,0,-0.0
hrgv_reference,rsg_complete,one_right_gate_selection_accuracy,0.4383561643835616,0.6,0.16164383561643836,1,0.16164383561643836
hrgv_reference,rsg_complete,mean_routing_regret_nll,0.10088592289719626,0.08257281697819314,-0.01831310591900312,-1,0.01831310591900312
hrgv_reference,rsg_complete,complementarity_recovery,0.23529411764705832,-0.08000000000000297,-0.3152941176470613,1,-0.3152941176470613
hrgv_reference,rsg_hard_target,accuracy,0.7671339563862928,0.7616822429906542,-0.005451713395638547,1,-0.005451713395638547
hrgv_reference,rsg_hard_target,macro_f1,0.7493888243636889,0.7409954083210528,-0.008393416042636104,1,-0.008393416042636104
hrgv_reference,rsg_hard_target,target_recall,0.7051792828685259,0.6812749003984063,-0.02390438247011961,1,-0.02390438247011961
hrgv_reference,rsg_hard_target,target_miss_rate,0.29482071713147406,0.3187250996015937,0.02390438247011961,-1,-0.02390438247011961
hrgv_reference,rsg_hard_target,ti_to_target_intrusion_rate,0.0814663951120163,0.07739307535641547,-0.004073319755600824,-1,0.004073319755600824
hrgv_reference,rsg_hard_target,metallic_to_target_intrusion_rate,0.10227272727272728,0.11931818181818182,0.017045454545454544,-1,-0.017045454545454544
hrgv_reference,rsg_hard_target,direct_accuracy,0.7570093457943925,0.7577881619937694,0.0007788161993769194,0,0.0
hrgv_reference,rsg_hard_target,mapped_accuracy,0.7609034267912772,0.7655763239875389,0.004672897196261738,0,0.0
hrgv_reference,rsg_hard_target,fused_accuracy,0.7671339563862928,0.7616822429906542,-0.005451713395638547,1,-0.005451713395638547
hrgv_reference,rsg_hard_target,oracle_accuracy,0.7873831775700935,0.7881619937694704,0.0007788161993769194,0,0.0
hrgv_reference,rsg_hard_target,expert_prediction_disagreement_rate,0.06074766355140187,0.06230529595015576,0.0015576323987538943,0,0.0
hrgv_reference,rsg_hard_target,one_right_one_wrong_rate,0.05685358255451713,0.0529595015576324,-0.0038940809968847356,0,-0.0
hrgv_reference,rsg_hard_target,one_right_gate_selection_accuracy,0.4383561643835616,0.4852941176470588,0.0469379532634972,1,0.0469379532634972
hrgv_reference,rsg_hard_target,mean_routing_regret_nll,0.10088592289719626,0.10711827258566978,0.0062323496884735125,-1,-0.0062323496884735125
hrgv_reference,rsg_hard_target,complementarity_recovery,0.23529411764705832,-0.17241379310344726,-0.4077079107505056,1,-0.4077079107505056
hrgv_reference,rsg_unweighted,accuracy,0.7671339563862928,0.7609034267912772,-0.006230529595015577,1,-0.006230529595015577
hrgv_reference,rsg_unweighted,macro_f1,0.7493888243636889,0.7420137628025785,-0.007375061561110452,1,-0.007375061561110452
hrgv_reference,rsg_unweighted,target_recall,0.7051792828685259,0.7171314741035857,0.01195219123505975,1,0.01195219123505975
hrgv_reference,rsg_unweighted,target_miss_rate,0.29482071713147406,0.2828685258964143,-0.01195219123505975,-1,0.01195219123505975
hrgv_reference,rsg_unweighted,ti_to_target_intrusion_rate,0.0814663951120163,0.0814663951120163,0.0,-1,-0.0
