reference,comparison,metric,reference_mean,comparison_mean,difference,favorable_direction,oriented_improvement
hrgv_reference,rsg_complete,accuracy,0.7536344755970924,0.7663551401869159,0.01272066458982346,1,0.01272066458982346
hrgv_reference,rsg_complete,macro_f1,0.7329426539962043,0.7428104410585593,0.009867787062355027,1,0.009867787062355027
hrgv_reference,rsg_complete,target_recall,0.7304116865869854,0.7290836653386454,-0.0013280212483399723,1,-0.0013280212483399723
hrgv_reference,rsg_complete,target_miss_rate,0.26958831341301465,0.27091633466135456,0.0013280212483399167,-1,-0.0013280212483399167
hrgv_reference,rsg_complete,ti_to_target_intrusion_rate,0.08689748811948404,0.07942973523421588,-0.0074677528852681585,-1,0.0074677528852681585
hrgv_reference,rsg_complete,metallic_to_target_intrusion_rate,0.12878787878787878,0.15151515151515152,0.022727272727272735,-1,-0.022727272727272735
hrgv_reference,rsg_complete,direct_accuracy,0.7518172377985463,0.7629802699896158,0.01116303219106951,0,0.0
hrgv_reference,rsg_complete,mapped_accuracy,0.7531152647975078,0.7642782969885774,0.011163032191069622,0,0.0
hrgv_reference,rsg_complete,fused_accuracy,0.7536344755970924,0.7663551401869159,0.01272066458982346,1,0.01272066458982346
hrgv_reference,rsg_complete,oracle_accuracy,0.7718068535825545,0.7834890965732088,0.011682242990654235,0,0.0
hrgv_reference,rsg_complete,expert_prediction_disagreement_rate,0.04750778816199377,0.04880581516095535,0.0012980269989615809,0,0.0
hrgv_reference,rsg_complete,one_right_one_wrong_rate,0.038681204569055036,0.0397196261682243,0.0010384215991692605,0,0.0
hrgv_reference,rsg_complete,one_right_gate_selection_accuracy,0.5524093392945851,0.5197548782454443,-0.032654461049140826,1,-0.032654461049140826
hrgv_reference,rsg_complete,mean_routing_regret_nll,0.11838706282450674,0.08507759086188993,-0.03330947196261681,-1,0.03330947196261681
hrgv_reference,rsg_complete,complementarity_recovery,0.028860028860030137,0.05303030303030124,0.024170274170271105,1,0.024170274170271105
