image_id,mindat_photo_id,mineral_label,true_label,predicted_label,confidence,is_correct,error_pair,split_group_id,image_path
VTM-000010,14362,ilmenite,target_mineral,gangue_negative,0.427629,false,target_mineral__as__gangue_negative,DG-de799a8fec64,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p014362_042_raw.jpg
VTM-000021,54047,ilmenite,target_mineral,ti_bearing_negative,0.685438,false,target_mineral__as__ti_bearing_negative,DG-02d77b36654c,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p054047_069_raw.jpg
VTM-000028,65978,ilmenite,target_mineral,gangue_negative,0.406429,false,target_mineral__as__gangue_negative,DG-1d76694ca56a,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p065978_268_raw.jpg
VTM-000099,1316676,ilmenite,target_mineral,metallic_hard_negative,0.809554,false,target_mineral__as__metallic_hard_negative,DG-0cb77f3a3394,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p1316676_016_raw.jpg
VTM-000125,1479998,ilmenite,target_mineral,ti_bearing_negative,0.516584,false,target_mineral__as__ti_bearing_negative,DG-92cd703d8751,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p1479998_175_raw.jpg
VTM-000168,227271,ilmenite,target_mineral,ti_bearing_negative,0.632190,false,target_mineral__as__ti_bearing_negative,DG-9549f16ca6f8,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p227271_055_raw.jpg
VTM-000186,299263,ilmenite,target_mineral,ti_bearing_negative,0.741126,false,target_mineral__as__ti_bearing_negative,DG-8de210fffeaa,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p299263_209_raw.jpg
VTM-000191,318008,ilmenite,target_mineral,metallic_hard_negative,0.543157,false,target_mineral__as__metallic_hard_negative,DG-2100b8d4655a,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p318008_204_raw.jpg
VTM-000198,332477,ilmenite,target_mineral,ti_bearing_negative,0.632983,false,target_mineral__as__ti_bearing_negative,DG-7401df8c67d6,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p332477_272_raw.jpg
VTM-000245,552070,ilmenite,target_mineral,metallic_hard_negative,0.419857,false,target_mineral__as__metallic_hard_negative,DG-1fb802e22fc8,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p552070_165_raw.jpg
VTM-000257,653555,ilmenite,target_mineral,metallic_hard_negative,0.576153,false,target_mineral__as__metallic_hard_negative,DG-5049063dc2ef,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p653555_216_raw.jpg
