image_id,mindat_photo_id,mineral_label,true_label,predicted_label,confidence,is_correct,error_pair,split_group_id,image_path
VTM-000010,14362,ilmenite,target_mineral,metallic_hard_negative,0.978142,false,target_mineral__as__metallic_hard_negative,DG-de799a8fec64,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p014362_042_raw.jpg
VTM-000021,54047,ilmenite,target_mineral,ti_bearing_negative,0.612202,false,target_mineral__as__ti_bearing_negative,DG-02d77b36654c,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p054047_069_raw.jpg
VTM-000028,65978,ilmenite,target_mineral,metallic_hard_negative,0.983660,false,target_mineral__as__metallic_hard_negative,DG-1d76694ca56a,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p065978_268_raw.jpg
VTM-000068,119538,ilmenite,target_mineral,ti_bearing_negative,0.622946,false,target_mineral__as__ti_bearing_negative,DG-eb8aface81ea,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p119538_278_raw.jpg
VTM-000099,1316676,ilmenite,target_mineral,metallic_hard_negative,0.999877,false,target_mineral__as__metallic_hard_negative,DG-0cb77f3a3394,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p1316676_016_raw.jpg
VTM-000148,185317,ilmenite,target_mineral,gangue_negative,0.754105,false,target_mineral__as__gangue_negative,DG-6b6127386ae0,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p185317_273_raw.jpg
VTM-000168,227271,ilmenite,target_mineral,gangue_negative,0.522396,false,target_mineral__as__gangue_negative,DG-9549f16ca6f8,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p227271_055_raw.jpg
VTM-000178,282597,ilmenite,target_mineral,metallic_hard_negative,0.994817,false,target_mineral__as__metallic_hard_negative,DG-7a19944a6977,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p282597_134_raw.jpg
VTM-000186,299263,ilmenite,target_mineral,ti_bearing_negative,0.959792,false,target_mineral__as__ti_bearing_negative,DG-8de210fffeaa,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p299263_209_raw.jpg
VTM-000191,318008,ilmenite,target_mineral,metallic_hard_negative,0.965866,false,target_mineral__as__metallic_hard_negative,DG-2100b8d4655a,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p318008_204_raw.jpg
VTM-000198,332477,ilmenite,target_mineral,ti_bearing_negative,0.729137,false,target_mineral__as__ti_bearing_negative,DG-7401df8c67d6,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p332477_272_raw.jpg
VTM-000235,510570,ilmenite,target_mineral,gangue_negative,0.491135,false,target_mineral__as__gangue_negative,DG-7b45371666b6,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p510570_322_raw.jpg
VTM-000245,552070,ilmenite,target_mineral,gangue_negative,0.871062,false,target_mineral__as__gangue_negative,DG-1fb802e22fc8,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p552070_165_raw.jpg
VTM-000269,676754,ilmenite,target_mineral,ti_bearing_negative,0.962134,false,target_mineral__as__ti_bearing_negative,DG-22f5c2a57f9b,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p676754_009_raw.jpg
VTM-000271,679670,ilmenite,target_mineral,metallic_hard_negative,0.863015,false,target_mineral__as__metallic_hard_negative,DG-2ad0853858a5,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p679670_151_raw.jpg
VTM-000279,704115,ilmenite,target_mineral,ti_bearing_negative,0.935585,false,target_mineral__as__ti_bearing_negative,DG-393984939add,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p704115_251_raw.jpg
VTM-000318,873189,ilmenite,target_mineral,ti_bearing_negative,0.986981,false,target_mineral__as__ti_bearing_negative,DG-1963609157d8,数据集\mindat_manual_positive_v1\raw_positive\ilmenite_ti_mineral\ilmenite_mindat_p873189_182_raw.jpg
VTM-000333,640,magnetite,target_mineral,ti_bearing_negative,0.802159,false,target_mineral__as__ti_bearing_negative,DG-054b4ded8482,数据集\mindat_manual_positive_v1\raw_positive\magnetite_proxy\magnetite_mindat_p000640_1302_raw.jpg
VTM-000338,1440,magnetite,target_mineral,ti_bearing_negative,0.993077,false,target_mineral__as__ti_bearing_negative,DG-4d18b403f26f,数据集\mindat_manual_positive_v1\raw_positive\magnetite_proxy\magnetite_mindat_p001440_1329_raw.jpg
VTM-000344,2875,magnetite,target_mineral,gangue_negative,0.878848,false,target_mineral__as__gangue_negative,DG-2f8cebc5b197,数据集\mindat_manual_positive_v1\raw_positive\magnetite_proxy\magnetite_mindat_p002875_1315_raw.jpg
VTM-000351,4524,magnetite,target_mineral,metallic_hard_negative,0.977875,false,target_mineral__as__metallic_hard_negative,DG-a48fa79cf69f,数据集\mindat_manual_positive_v1\raw_positive\magnetite_proxy\magnetite_mindat_p004524_1328_raw.jpg
VTM-000352,4545,magnetite,target_mineral,metallic_hard_negative,0.597900,false,target_mineral__as__metallic_hard_negative,DG-1782d4b3d09c,数据集\mindat_manual_positive_v1\raw_positive\magnetite_proxy\magnetite_mindat_p004545_541_raw.jpg
VTM-000358,9922,magnetite,target_mineral,ti_bearing_negative,0.549723,false,target_mineral__as__ti_bearing_negative,DG-4505009c7166,数据集\mindat_manual_positive_v1\raw_positive\magnetite_proxy\magnetite_mindat_p009922_462_raw.jpg
VTM-000359,10266,magnetite,target_mineral,ti_bearing_negative,0.661113,false,target_mineral__as__ti_bearing_negative,DG-30c34c3d847b,数据集\mindat_manual_positive_v1\raw_positive\magnetite_proxy\magnetite_mindat_p010266_360_raw.jpg
