image_id,relative_path,mineral_label,four_class_label,four_class_id,mindat_photo_id,split_group_id,split
VTM-000001,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p001120_012_raw.jpg,ilmenite,target_mineral,0,1120,DG-c2b875fce882,train
VTM-000002,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p001236_041_raw.jpg,ilmenite,target_mineral,0,1236,DG-9b07413cd739,train
VTM-000003,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p001739_022_raw.jpg,ilmenite,target_mineral,0,1739,DG-a8286817ee0d,val
VTM-000004,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p002530_046_raw.jpg,ilmenite,target_mineral,0,2530,DG-93711816d7a2,train
VTM-000005,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004285_047_raw.jpg,ilmenite,target_mineral,0,4285,DG-c56c77bc69b9,train
VTM-000006,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004315_052_raw.jpg,ilmenite,target_mineral,0,4315,DG-329265e8e87c,train
VTM-000007,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004329_040_raw.jpg,ilmenite,target_mineral,0,4329,DG-29b5b23f3d2a,val
VTM-000008,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004514_051_raw.jpg,ilmenite,target_mineral,0,4514,DG-866dc24795ee,train
VTM-000009,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004515_037_raw.jpg,ilmenite,target_mineral,0,4515,DG-975d144850cf,train
VTM-000010,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p014362_042_raw.jpg,ilmenite,target_mineral,0,14362,DG-de799a8fec64,test
VTM-000011,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p014419_039_raw.jpg,ilmenite,target_mineral,0,14419,DG-67537256c2c8,train
VTM-000012,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p016201_061_raw.jpg,ilmenite,target_mineral,0,16201,DG-d55a08de460c,train
VTM-000013,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p023681_038_raw.jpg,ilmenite,target_mineral,0,23681,DG-6fe0031f6ce0,train
VTM-000014,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p026266_063_raw.jpg,ilmenite,target_mineral,0,26266,DG-272298e448f6,train
VTM-000015,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p031902_071_raw.jpg,ilmenite,target_mineral,0,31902,DG-a1015e899276,train
VTM-000016,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p032443_023_raw.jpg,ilmenite,target_mineral,0,32443,DG-ff973b2d0c52,train
VTM-000017,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p039117_057_raw.jpg,ilmenite,target_mineral,0,39117,DG-ac7eee422e34,train
VTM-000018,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p039732_066_raw.jpg,ilmenite,target_mineral,0,39732,DG-43315a4123ba,train
VTM-000019,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p048013_036_raw.jpg,ilmenite,target_mineral,0,48013,DG-1f6c9a170d0a,train
VTM-000020,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p051664_048_raw.jpg,ilmenite,target_mineral,0,51664,DG-6bc7ec0a0d3e,train
VTM-000021,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p054047_069_raw.jpg,ilmenite,target_mineral,0,54047,DG-02d77b36654c,test
VTM-000022,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p054998_074_raw.jpg,ilmenite,target_mineral,0,54998,DG-f06e5066d583,train
VTM-000023,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p055691_188_raw.jpg,ilmenite,target_mineral,0,55691,DG-57c8be1f1a44,train
VTM-000024,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p061431_263_raw.jpg,ilmenite,target_mineral,0,61431,DG-6871d8b8ef5b,val
VTM-000025,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p065674_067_raw.jpg,ilmenite,target_mineral,0,65674,DG-834694a900f8,test
VTM-000026,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p065675_062_raw.jpg,ilmenite,target_mineral,0,65675,DG-0cb281befc77,train
VTM-000027,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p065966_053_raw.jpg,ilmenite,target_mineral,0,65966,DG-240bb55c0a40,val
VTM-000028,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p065978_268_raw.jpg,ilmenite,target_mineral,0,65978,DG-1d76694ca56a,test
VTM-000029,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p068281_274_raw.jpg,ilmenite,target_mineral,0,68281,DG-9f879b68f7a9,train
VTM-000030,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p068557_070_raw.jpg,ilmenite,target_mineral,0,68557,DG-c71973729a4d,val
VTM-000031,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p068643_266_raw.jpg,ilmenite,target_mineral,0,68643,DG-d7115b5d6740,train
VTM-000032,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p074476_093_raw.jpg,ilmenite,target_mineral,0,74476,DG-a4d032ac7c43,train
VTM-000033,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p075558_050_raw.jpg,ilmenite,target_mineral,0,75558,DG-835a9a31582b,train
VTM-000034,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p075966_056_raw.jpg,ilmenite,target_mineral,0,75966,DG-79783c002b65,train
VTM-000035,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p080646_073_raw.jpg,ilmenite,target_mineral,0,80646,DG-dbffa0d0fee0,train
VTM-000036,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p081337_024_raw.jpg,ilmenite,target_mineral,0,81337,DG-ceb98676b869,train
VTM-000037,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p081338_025_raw.jpg,ilmenite,target_mineral,0,81338,DG-134533c2ee9a,train
VTM-000038,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p081586_049_raw.jpg,ilmenite,target_mineral,0,81586,DG-1ee5bef13bea,train
VTM-000039,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p083427_060_raw.jpg,ilmenite,target_mineral,0,83427,DG-3cf624d4ada7,train
VTM-000040,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1019845_292_raw.jpg,ilmenite,target_mineral,0,1019845,DG-779d8b7a0223,val
VTM-000041,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1023552_299_raw.jpg,ilmenite,target_mineral,0,1023552,DG-19654d297b51,train
VTM-000042,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1023553_293_raw.jpg,ilmenite,target_mineral,0,1023553,DG-dd60957cc98f,train
VTM-000043,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1024039_102_raw.jpg,ilmenite,target_mineral,0,1024039,DG-4e8fc512ead5,train
VTM-000044,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1034406_010_raw.jpg,ilmenite,target_mineral,0,1034406,DG-125bfe4cac76,val
