seed,metric,baseline,comparison,difference
20260727,accuracy,0.7515576323987538,0.7250778816199377,-0.026479750778816147
20260727,macro_f1,0.7328074570525387,0.7070836015488924,-0.02572385550364631
20260727,target_recall,0.701195219123506,0.8007968127490039,0.09960159362549792
20260727,target_miss_rate,0.298804780876494,0.19920318725099606,-0.09960159362549792
20260727,ti_to_target_intrusion,0.07535641547861507,0.1446028513238289,0.06924643584521384
20260727,metallic_to_target_intrusion,0.10795454545454546,0.17613636363636365,0.06818181818181819
20260728,accuracy,0.7538940809968847,0.7749221183800623,0.0210280373831776
20260728,macro_f1,0.7395918322881521,0.7529740878027406,0.013382255514588492
20260728,target_recall,0.7051792828685259,0.7649402390438247,0.05976095617529875
20260728,target_miss_rate,0.29482071713147406,0.2350597609561753,-0.05976095617529875
20260728,ti_to_target_intrusion,0.07535641547861507,0.07739307535641547,0.002036659877800398
20260728,metallic_to_target_intrusion,0.09090909090909091,0.11931818181818182,0.02840909090909091
20260729,accuracy,0.7383177570093458,0.7624610591900312,0.02414330218068539
20260729,macro_f1,0.7182647741931829,0.7422840235931725,0.024019249399989562
20260729,target_recall,0.6454183266932271,0.7609561752988048,0.1155378486055777
20260729,target_miss_rate,0.3545816733067729,0.23904382470119523,-0.1155378486055777
20260729,ti_to_target_intrusion,0.0814663951120163,0.10590631364562118,0.024439918533604887
20260729,metallic_to_target_intrusion,0.09090909090909091,0.13636363636363635,0.04545454545454544
