image_id,relative_path,mineral_label,four_class_label,four_class_id,mindat_photo_id,split_group_id,split,experiment_subset
VTM-000004,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p002530_046_raw.jpg,ilmenite,target_mineral,0,2530,DG-93711816d7a2,train,expert_fit
VTM-000005,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004285_047_raw.jpg,ilmenite,target_mineral,0,4285,DG-c56c77bc69b9,train,expert_fit
VTM-000006,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004315_052_raw.jpg,ilmenite,target_mineral,0,4315,DG-329265e8e87c,train,expert_fit
VTM-000008,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004514_051_raw.jpg,ilmenite,target_mineral,0,4514,DG-866dc24795ee,train,expert_fit
VTM-000011,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p014419_039_raw.jpg,ilmenite,target_mineral,0,14419,DG-67537256c2c8,train,expert_fit
VTM-000012,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p016201_061_raw.jpg,ilmenite,target_mineral,0,16201,DG-d55a08de460c,train,expert_fit
VTM-000013,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p023681_038_raw.jpg,ilmenite,target_mineral,0,23681,DG-6fe0031f6ce0,val,expert_stop
VTM-000017,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p039117_057_raw.jpg,ilmenite,target_mineral,0,39117,DG-ac7eee422e34,train,expert_fit
VTM-000018,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p039732_066_raw.jpg,ilmenite,target_mineral,0,39732,DG-43315a4123ba,val,expert_stop
VTM-000019,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p048013_036_raw.jpg,ilmenite,target_mineral,0,48013,DG-1f6c9a170d0a,train,expert_fit
VTM-000020,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p051664_048_raw.jpg,ilmenite,target_mineral,0,51664,DG-6bc7ec0a0d3e,train,expert_fit
VTM-000022,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p054998_074_raw.jpg,ilmenite,target_mineral,0,54998,DG-f06e5066d583,train,expert_fit
VTM-000023,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p055691_188_raw.jpg,ilmenite,target_mineral,0,55691,DG-57c8be1f1a44,train,expert_fit
VTM-000026,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p065675_062_raw.jpg,ilmenite,target_mineral,0,65675,DG-0cb281befc77,train,expert_fit
VTM-000029,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p068281_274_raw.jpg,ilmenite,target_mineral,0,68281,DG-9f879b68f7a9,train,expert_fit
VTM-000031,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p068643_266_raw.jpg,ilmenite,target_mineral,0,68643,DG-d7115b5d6740,train,expert_fit
VTM-000032,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p074476_093_raw.jpg,ilmenite,target_mineral,0,74476,DG-a4d032ac7c43,train,expert_fit
VTM-000033,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p075558_050_raw.jpg,ilmenite,target_mineral,0,75558,DG-835a9a31582b,train,expert_fit
VTM-000034,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p075966_056_raw.jpg,ilmenite,target_mineral,0,75966,DG-79783c002b65,train,expert_fit
VTM-000035,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p080646_073_raw.jpg,ilmenite,target_mineral,0,80646,DG-dbffa0d0fee0,train,expert_fit
VTM-000036,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p081337_024_raw.jpg,ilmenite,target_mineral,0,81337,DG-ceb98676b869,train,expert_fit
VTM-000037,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p081338_025_raw.jpg,ilmenite,target_mineral,0,81338,DG-134533c2ee9a,train,expert_fit
VTM-000038,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p081586_049_raw.jpg,ilmenite,target_mineral,0,81586,DG-1ee5bef13bea,train,expert_fit
VTM-000039,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p083427_060_raw.jpg,ilmenite,target_mineral,0,83427,DG-3cf624d4ada7,val,expert_stop
VTM-000041,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1023552_299_raw.jpg,ilmenite,target_mineral,0,1023552,DG-19654d297b51,train,expert_fit
VTM-000042,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1023553_293_raw.jpg,ilmenite,target_mineral,0,1023553,DG-dd60957cc98f,val,expert_stop
VTM-000043,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1024039_102_raw.jpg,ilmenite,target_mineral,0,1024039,DG-4e8fc512ead5,train,expert_fit
VTM-000045,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1047579_231_raw.jpg,ilmenite,target_mineral,0,1047579,DG-e57922e4a4ef,train,expert_fit
VTM-000046,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1053297_103_raw.jpg,ilmenite,target_mineral,0,1053297,DG-8ca8a880111d,train,expert_fit
VTM-000047,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1053340_104_raw.jpg,ilmenite,target_mineral,0,1053340,DG-0b8c9d675dcb,train,expert_fit
VTM-000048,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p105371_269_raw.jpg,ilmenite,target_mineral,0,105371,DG-0f8409a21a22,val,expert_stop
VTM-000050,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1073133_020_raw.jpg,ilmenite,target_mineral,0,1073133,DG-5ce3c43f0026,train,expert_fit
VTM-000051,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p107490_075_raw.jpg,ilmenite,target_mineral,0,107490,DG-0f2238eb4dbb,train,expert_fit
VTM-000052,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1096377_183_raw.jpg,ilmenite,target_mineral,0,1096377,DG-c77341bb0bdd,train,expert_fit
VTM-000053,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1097814_294_raw.jpg,ilmenite,target_mineral,0,1097814,DG-0c19a5da525e,train,expert_fit
VTM-000054,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1098646_276_raw.jpg,ilmenite,target_mineral,0,1098646,DG-4dc01708b6c1,train,expert_fit
