image_id,relative_path,mineral_label,four_class_label,four_class_id,mindat_photo_id,split_group_id,split,experiment_subset
VTM-000004,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p002530_046_raw.jpg,ilmenite,target_mineral,0,2530,DG-93711816d7a2,train,expert_fit
VTM-000008,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004514_051_raw.jpg,ilmenite,target_mineral,0,4514,DG-866dc24795ee,train,expert_fit
VTM-000022,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p054998_074_raw.jpg,ilmenite,target_mineral,0,54998,DG-f06e5066d583,train,expert_fit
VTM-000026,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p065675_062_raw.jpg,ilmenite,target_mineral,0,65675,DG-0cb281befc77,train,expert_fit
VTM-000031,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p068643_266_raw.jpg,ilmenite,target_mineral,0,68643,DG-d7115b5d6740,train,expert_fit
VTM-000036,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p081337_024_raw.jpg,ilmenite,target_mineral,0,81337,DG-ceb98676b869,train,expert_fit
VTM-000038,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p081586_049_raw.jpg,ilmenite,target_mineral,0,81586,DG-1ee5bef13bea,train,expert_fit
VTM-000045,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1047579_231_raw.jpg,ilmenite,target_mineral,0,1047579,DG-e57922e4a4ef,train,expert_fit
VTM-000058,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1141176_015_raw.jpg,ilmenite,target_mineral,0,1141176,DG-5e73760da06b,train,expert_fit
VTM-000064,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p119088_064_raw.jpg,ilmenite,target_mineral,0,119088,DG-cbbeb875d4d7,train,expert_fit
VTM-000069,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1205969_245_raw.jpg,ilmenite,target_mineral,0,1205969,DG-acd49a666aae,train,expert_fit
VTM-000071,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1228510_255_raw.jpg,ilmenite,target_mineral,0,1228510,DG-43ff4b7e71d7,train,expert_fit
VTM-000078,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298636_159_raw.jpg,ilmenite,target_mineral,0,1298636,DG-6cfccac709da,train,expert_fit
VTM-000091,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298715_178_raw.jpg,ilmenite,target_mineral,0,1298715,DG-7fc56bd7b2ef,train,expert_fit
VTM-000107,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1343492_101_raw.jpg,ilmenite,target_mineral,0,1343492,DG-2643e93c71a5,train,expert_fit
VTM-000135,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p166360_271_raw.jpg,ilmenite,target_mineral,0,166360,DG-d7c826c0b971,train,expert_fit
VTM-000149,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p185318_277_raw.jpg,ilmenite,target_mineral,0,185318,DG-4a5c55941f28,train,expert_fit
VTM-000157,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p190143_270_raw.jpg,ilmenite,target_mineral,0,190143,DG-91303cef6949,train,expert_fit
VTM-000160,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p200491_193_raw.jpg,ilmenite,target_mineral,0,200491,DG-59d8b07cf8d3,train,expert_fit
VTM-000188,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p313892_210_raw.jpg,ilmenite,target_mineral,0,313892,DG-71f6613e2b17,train,expert_fit
VTM-000201,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p340659_203_raw.jpg,ilmenite,target_mineral,0,340659,DG-aa0fa95971fe,train,expert_fit
VTM-000215,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p389147_213_raw.jpg,ilmenite,target_mineral,0,389147,DG-ae6566d890f4,train,expert_fit
VTM-000221,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p429245_249_raw.jpg,ilmenite,target_mineral,0,429245,DG-a4bd6daf961b,train,expert_fit
VTM-000247,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p578963_225_raw.jpg,ilmenite,target_mineral,0,578963,DG-1d85bd9b85f1,train,expert_fit
VTM-000248,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p578967_229_raw.jpg,ilmenite,target_mineral,0,578967,DG-91ad4e26f829,train,expert_fit
VTM-000252,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p616120_246_raw.jpg,ilmenite,target_mineral,0,616120,DG-ed7133e0dd49,train,expert_fit
