image_id,relative_path,mineral_label,four_class_label,four_class_id,mindat_photo_id,split_group_id,split,experiment_subset
VTM-000001,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p001120_012_raw.jpg,ilmenite,target_mineral,0,1120,DG-c2b875fce882,train,gate_fit
VTM-000002,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p001236_041_raw.jpg,ilmenite,target_mineral,0,1236,DG-9b07413cd739,train,gate_fit
VTM-000009,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004515_037_raw.jpg,ilmenite,target_mineral,0,4515,DG-975d144850cf,train,gate_fit
VTM-000014,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p026266_063_raw.jpg,ilmenite,target_mineral,0,26266,DG-272298e448f6,train,gate_fit
VTM-000015,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p031902_071_raw.jpg,ilmenite,target_mineral,0,31902,DG-a1015e899276,train,gate_fit
VTM-000016,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p032443_023_raw.jpg,ilmenite,target_mineral,0,32443,DG-ff973b2d0c52,train,gate_fit
VTM-000049,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1069969_320_raw.jpg,ilmenite,target_mineral,0,1069969,DG-9fe5a7c1bd2f,train,gate_fit
VTM-000059,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1142421_003_raw.jpg,ilmenite,target_mineral,0,1142421,DG-104f7493d31e,train,gate_fit
VTM-000072,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1254993_304_raw.jpg,ilmenite,target_mineral,0,1254993,DG-f00d4292aa19,train,gate_fit
VTM-000081,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298639_155_raw.jpg,ilmenite,target_mineral,0,1298639,DG-a37ea3e212b7,train,gate_fit
VTM-000090,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298712_177_raw.jpg,ilmenite,target_mineral,0,1298712,DG-6354fac148fc,train,gate_fit
VTM-000098,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1313668_332_raw.jpg,ilmenite,target_mineral,0,1313668,DG-49669df93178,train,gate_fit
VTM-000108,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1344599_091_raw.jpg,ilmenite,target_mineral,0,1344599,DG-a0a42c1011c7,train,gate_fit
VTM-000118,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1412110_105_raw.jpg,ilmenite,target_mineral,0,1412110,DG-14b376873e31,train,gate_fit
VTM-000145,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p173583_028_raw.jpg,ilmenite,target_mineral,0,173583,DG-d7b92762e0e4,train,gate_fit
VTM-000147,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p173863_005_raw.jpg,ilmenite,target_mineral,0,173863,DG-f6947347e25e,train,gate_fit
VTM-000162,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p203746_287_raw.jpg,ilmenite,target_mineral,0,203746,DG-2453eef001b2,train,gate_fit
VTM-000193,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p318010_202_raw.jpg,ilmenite,target_mineral,0,318010,DG-52c3a93b717f,train,gate_fit
VTM-000197,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p330312_030_raw.jpg,ilmenite,target_mineral,0,330312,DG-f41a4dfab265,train,gate_fit
VTM-000207,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p360349_224_raw.jpg,ilmenite,target_mineral,0,360349,DG-7e82b74da756,train,gate_fit
VTM-000208,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p360829_147_raw.jpg,ilmenite,target_mineral,0,360829,DG-51ffb018723b,train,gate_fit
VTM-000211,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p381017_142_raw.jpg,ilmenite,target_mineral,0,381017,DG-7fc738d1134f,train,gate_fit
VTM-000213,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p384799_230_raw.jpg,ilmenite,target_mineral,0,384799,DG-99fda46f1eff,train,gate_fit
VTM-000219,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p417988_280_raw.jpg,ilmenite,target_mineral,0,417988,DG-90f99d0b37a9,train,gate_fit
VTM-000238,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p519261_198_raw.jpg,ilmenite,target_mineral,0,519261,DG-9ffaf9d3c3aa,train,gate_fit
VTM-000239,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p519805_300_raw.jpg,ilmenite,target_mineral,0,519805,DG-eafba2c762ae,train,gate_fit
VTM-000241,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p519886_319_raw.jpg,ilmenite,target_mineral,0,519886,DG-0f6c6dd21429,train,gate_fit
VTM-000246,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p577342_348_raw.jpg,ilmenite,target_mineral,0,577342,DG-a3dd2b3b63c4,train,gate_fit
VTM-000272,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p683499_227_raw.jpg,ilmenite,target_mineral,0,683499,DG-fbc2aa6bbfb3,train,gate_fit
VTM-000273,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p689534_220_raw.jpg,ilmenite,target_mineral,0,689534,DG-92b8961f8b7b,train,gate_fit
VTM-000278,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p704114_239_raw.jpg,ilmenite,target_mineral,0,704114,DG-e5c07aa0d856,train,gate_fit
VTM-000315,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p858187_100_raw.jpg,ilmenite,target_mineral,0,858187,DG-36e9b2ac2e42,train,gate_fit
VTM-000322,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p904455_144_raw.jpg,ilmenite,target_mineral,0,904455,DG-7bd6164a6379,train,gate_fit
VTM-000335,raw_positive/magnetite_proxy/magnetite_mindat_p000859_1304_raw.jpg,magnetite,target_mineral,0,859,DG-d539beaf1653,train,gate_fit
VTM-000341,raw_positive/magnetite_proxy/magnetite_mindat_p001891_1312_raw.jpg,magnetite,target_mineral,0,1891,DG-69bedbf179ff,train,gate_fit
VTM-000347,raw_positive/magnetite_proxy/magnetite_mindat_p003449_1231_raw.jpg,magnetite,target_mineral,0,3449,DG-7351f9e6316a,train,gate_fit
VTM-000363,raw_positive/magnetite_proxy/magnetite_mindat_p011499_1154_raw.jpg,magnetite,target_mineral,0,11499,DG-94dcfd62b6eb,train,gate_fit
VTM-000366,raw_positive/magnetite_proxy/magnetite_mindat_p015795_492_raw.jpg,magnetite,target_mineral,0,15795,DG-b3dbee22cb07,train,gate_fit
VTM-000371,raw_positive/magnetite_proxy/magnetite_mindat_p019023_054_raw.jpg,magnetite,target_mineral,0,19023,DG-bbe06a80c712,train,gate_fit
VTM-000377,raw_positive/magnetite_proxy/magnetite_mindat_p021649_255_raw.jpg,magnetite,target_mineral,0,21649,DG-b6bdb6e8a1d1,train,gate_fit
VTM-000382,raw_positive/magnetite_proxy/magnetite_mindat_p023757_057_raw.jpg,magnetite,target_mineral,0,23757,DG-937415c84039,train,gate_fit
VTM-000383,raw_positive/magnetite_proxy/magnetite_mindat_p024380_003_raw.jpg,magnetite,target_mineral,0,24380,DG-f0a06cb9e4f5,train,gate_fit
VTM-000392,raw_positive/magnetite_proxy/magnetite_mindat_p032231_495_raw.jpg,magnetite,target_mineral,0,32231,DG-c2a710c571fc,train,gate_fit
VTM-000395,raw_positive/magnetite_proxy/magnetite_mindat_p035599_449_raw.jpg,magnetite,target_mineral,0,35599,DG-34f56aa81876,train,gate_fit
VTM-000408,raw_positive/magnetite_proxy/magnetite_mindat_p041190_055_raw.jpg,magnetite,target_mineral,0,41190,DG-33df6424b3d6,train,gate_fit
VTM-000414,raw_positive/magnetite_proxy/magnetite_mindat_p043098_066_raw.jpg,magnetite,target_mineral,0,43098,DG-1757f272a82b,train,gate_fit
VTM-000433,raw_positive/magnetite_proxy/magnetite_mindat_p049002_696_raw.jpg,magnetite,target_mineral,0,49002,DG-c8fe44598de6,train,gate_fit
VTM-000437,raw_positive/magnetite_proxy/magnetite_mindat_p050541_223_raw.jpg,magnetite,target_mineral,0,50541,DG-bf59c8261d2d,train,gate_fit
VTM-000439,raw_positive/magnetite_proxy/magnetite_mindat_p051816_417_raw.jpg,magnetite,target_mineral,0,51816,DG-52818a1430b3,train,gate_fit
VTM-000441,raw_positive/magnetite_proxy/magnetite_mindat_p054139_022_raw.jpg,magnetite,target_mineral,0,54139,DG-668f6c426880,train,gate_fit
VTM-000453,raw_positive/magnetite_proxy/magnetite_mindat_p066726_800_raw.jpg,magnetite,target_mineral,0,66726,DG-151237aade76,train,gate_fit
VTM-000456,raw_positive/magnetite_proxy/magnetite_mindat_p067915_087_raw.jpg,magnetite,target_mineral,0,67915,DG-613c67a9466d,train,gate_fit
VTM-000458,raw_positive/magnetite_proxy/magnetite_mindat_p070131_509_raw.jpg,magnetite,target_mineral,0,70131,DG-e1e4d3c4e48b,train,gate_fit
VTM-000461,raw_positive/magnetite_proxy/magnetite_mindat_p071040_059_raw.jpg,magnetite,target_mineral,0,71040,DG-bd4555044da8,train,gate_fit
VTM-000473,raw_positive/magnetite_proxy/magnetite_mindat_p074543_338_raw.jpg,magnetite,target_mineral,0,74543,DG-f75263abc149,train,gate_fit
VTM-000485,raw_positive/magnetite_proxy/magnetite_mindat_p081039_1169_raw.jpg,magnetite,target_mineral,0,81039,DG-139309e9779f,train,gate_fit
VTM-000501,raw_positive/magnetite_proxy/magnetite_mindat_p094928_1333_raw.jpg,magnetite,target_mineral,0,94928,DG-fa20547328d3,train,gate_fit
VTM-000505,raw_positive/magnetite_proxy/magnetite_mindat_p097066_259_raw.jpg,magnetite,target_mineral,0,97066,DG-39d0454c7a0a,train,gate_fit
VTM-000530,raw_positive/magnetite_proxy/magnetite_mindat_p1015244_126_raw.jpg,magnetite,target_mineral,0,1015244,DG-c20cf3cb0023,train,gate_fit
VTM-000534,raw_positive/magnetite_proxy/magnetite_mindat_p1020695_660_raw.jpg,magnetite,target_mineral,0,1020695,DG-bae55c45e061,train,gate_fit
VTM-000541,raw_positive/magnetite_proxy/magnetite_mindat_p1031761_1113_raw.jpg,magnetite,target_mineral,0,1031761,DG-ac65b778544d,train,gate_fit
VTM-000543,raw_positive/magnetite_proxy/magnetite_mindat_p1032642_532_raw.jpg,magnetite,target_mineral,0,1032642,DG-8637f69df099,train,gate_fit
VTM-000559,raw_positive/magnetite_proxy/magnetite_mindat_p1051469_870_raw.jpg,magnetite,target_mineral,0,1051469,DG-9f5635bb8293,train,gate_fit
VTM-000560,raw_positive/magnetite_proxy/magnetite_mindat_p1052596_869_raw.jpg,magnetite,target_mineral,0,1052596,DG-f8b487ada0f0,train,gate_fit
VTM-000572,raw_positive/magnetite_proxy/magnetite_mindat_p1061676_347_raw.jpg,magnetite,target_mineral,0,1061676,DG-82699c640431,train,gate_fit
