epoch,train_loss,train_final_role_loss,train_direct_role_loss,train_species_loss,train_consistency_loss,train_ti_verifier_loss,train_metallic_verifier_loss,train_verifier_loss,train_contrast_loss,train_gate_regret_loss,train_decomposition_loss,train_calibration_loss,train_phr_ti_gate_loss,train_phr_metallic_gate_loss,train_phr_pairwise_regret_loss,train_mean_gate,train_mean_expert_js_divergence,train_gate_selection_accuracy,train_one_right_gate_selection_accuracy,train_mean_routing_regret_nll,train_mean_weighted_gate_error,train_phr_ti_eligible_count,train_phr_ti_gate_selection_accuracy,train_phr_ti_mean_margin_regret,train_phr_ti_mean_weighted_gate_error,train_phr_ti_sign_agreement_count,train_phr_ti_sign_preservation_rate,train_phr_metallic_eligible_count,train_phr_metallic_gate_selection_accuracy,train_phr_metallic_mean_margin_regret,train_phr_metallic_mean_weighted_gate_error,train_phr_metallic_sign_agreement_count,train_phr_metallic_sign_preservation_rate,val_loss,val_final_role_loss,val_direct_role_loss,val_species_loss,val_consistency_loss,val_ti_verifier_loss,val_metallic_verifier_loss,val_verifier_loss,val_contrast_loss,val_gate_regret_loss,val_decomposition_loss,val_calibration_loss,val_phr_ti_gate_loss,val_phr_metallic_gate_loss,val_phr_pairwise_regret_loss,val_mean_gate,val_mean_expert_js_divergence,val_gate_selection_accuracy,val_one_right_gate_selection_accuracy,val_mean_routing_regret_nll,val_mean_weighted_gate_error,val_phr_ti_eligible_count,val_phr_ti_gate_selection_accuracy,val_phr_ti_mean_margin_regret,val_phr_ti_mean_weighted_gate_error,val_phr_ti_sign_agreement_count,val_phr_ti_sign_preservation_rate,val_phr_metallic_eligible_count,val_phr_metallic_gate_selection_accuracy,val_phr_metallic_mean_margin_regret,val_phr_metallic_mean_weighted_gate_error,val_phr_metallic_sign_agreement_count,val_phr_metallic_sign_preservation_rate,accuracy,macro_precision,macro_recall,macro_f1,target_recall,target_miss_rate,ti_to_target_intrusion_rate,metallic_to_target_intrusion_rate,learning_rate
1,3.4686072872621345,1.120507101357893,1.1152641785122808,2.508118668972016,0.06600642310150157,0.49904744280822483,0.5866661592630548,1.085713600676405,0.6889183794746181,0.700648857530902,0.0,1.1227719145040347,0.651050896157436,0.6170554450045814,1.268106338642244,0.5801863150895792,0.015544487448452594,0.5603086730414361,0.5581560283687943,0.11194962993463556,0.037322670116525986,3447,0.6080649840440964,0.24745536382678351,0.24745536229106888,2539,1.0,1980,0.6141414141414141,0.19675733159775988,0.19675733081322422,1304,1.0,2.477052265981276,0.8844300878010807,0.8907926918190217,2.0682080868991366,0.05919793273708159,0.2384821600353235,0.17252729986315576,0.4110094623587956,0.0,0.694291018251318,0.0,0.891152818254964,0.3438278814528219,0.20583548501273183,0.5496633660941852,0.5337008663287787,0.013706870894926068,0.6339563862928349,0.5821917808219178,0.09971583143277006,0.03897684011444639,740,0.6635135135135135,0.22257176039589419,0.2225717595798857,657,1.0,427,0.6323185011709602,0.2114913327143957,0.21149133418799013,352,1.0,0.6487538940809969,0.6225924398522849,0.6409780561742086,0.6232883466840367,0.496,0.504,0.11836734693877551,0.11299435028248588,0.0001
2,2.7204739537700635,0.8487261480241989,0.855047815089217,1.9772020663376764,0.04693633429437371,0.40601074693587336,0.4479238407508556,0.8539345871030315,0.6060163881120376,0.6911931177990246,0.0,0.8524152344804226,0.5749933606470177,0.5050360508471843,1.0800294116766855,0.5002553832948938,0.010968479663852697,0.5324609964771012,0.514480408858603,0.08825910713285678,0.035666929103629876,3447,0.6686974180446765,0.19491054129513635,0.1949105421175834,3173,1.0,1980,0.6868686868686869,0.18431569016209304,0.18431568916677143,1764,1.0,2.2098435018664206,0.7915689312037649,0.8243050967050118,1.804593802983887,0.042150317206746696,0.22668111398584004,0.15175080503630117,0.3784319189292991,0.0,0.6866006609806762,0.0,0.7955777830795335,0.2906311720702507,0.18747207234581684,0.4781032442303833,0.47192235759856915,0.010086178780692878,0.5342679127725857,0.5504587155963303,0.08274055206567024,0.03401899239483486,740,0.727027027027027,0.18738742542226572,0.18738743171152483,674,1.0,427,0.7166276346604216,0.1857176124002671,0.1857176145235517,392,1.0,0.6783489096573209,0.665738367507834,0.6893333361608626,0.6684267448857029,0.72,0.28,0.20204081632653062,0.1807909604519774,0.0001
3,2.3101878376179865,0.7144185488825175,0.7239830354539525,1.711419525552048,0.03866934522485207,0.34565952149259027,0.3397364923316467,0.6853960135542613,0.5078078728657284,0.6913284735078881,0.0,0.7188744376198075,0.5030704841900144,0.4227814733772105,0.9258519567672967,0.47181988412892734,0.009257547909248627,0.5217245428619359,0.5681818181818182,0.07658493306086742,0.03344852014709219,3447,0.7101827676240209,0.17525422648659927,0.17525422266846824,3223,1.0,1980,0.748989898989899,0.15251262574785887,0.15251262728942117,1848,1.0,2.0221350438126895,0.7207939370398952,0.7357309230391481,1.6571029328111548,0.038309523307738645,0.20338976631561914,0.13868872064667698,0.34207848679982245,0.0,0.6948341552713578,0.0,0.722452528194475,0.2749324655421426,0.17010048969512417,0.4450329552372668,0.47751365608979607,0.009337056725683813,0.5054517133956387,0.5663716814159292,0.0757117413131341,0.03258739687629008,740,0.727027027027027,0.16538656413353778,0.16538655922851977,688,1.0,427,0.7330210772833724,0.17490822570594747,0.17490821830185121,392,1.0,0.7087227414330218,0.6858049179598233,0.7093195309066221,0.6936884416663381,0.652,0.348,0.13877551020408163,0.11864406779661017,0.0001
4,2.0123752148594156,0.6080586767460632,0.6232969337532812,1.5204927051373325,0.03890233197948003,0.30604695782847824,0.2723165889884767,0.5783635468475772,0.41837990053236795,0.6912635946469786,0.0,0.6144609578882482,0.479800648656073,0.3622952808826447,0.8420959287812857,0.468482122717638,0.009327642434342207,0.540848850863949,0.5668934240362812,0.07344399758663248,0.03396069216924561,3447,0.7258485639686684,0.1850700935533674,0.18507009646736308,3255,1.0,1980,0.7883838383838384,0.14086422249345543,0.14086422322389908,1880,1.0,2.0297055470980587,0.7328169442411524,0.7563002740854043,1.6291594033672059,0.039001539993648214,0.20529800521157612,0.14856775156062713,0.3538657546136238,0.0,0.6926672718606633,0.0,0.7336340846488038,0.26290073832990224,0.16844001885886503,0.43134075774582004,0.45665867402685395,0.009614571780607081,0.5264797507788161,0.5894736842105263,0.07934891302479018,0.03222065187428017,740,0.7297297297297297,0.17997751219097424,0.1799775113205534,694,1.0,427,0.711943793911007,0.1600248627059284,0.16002485991410767,409,1.0,0.7095015576323987,0.6878045529488928,0.7162218045856867,0.693763062553312,0.652,0.348,0.1469387755102041,0.11864406779661017,0.0001
5,1.7588722269680253,0.5226243138163307,0.5361660539084004,1.3568348275237267,0.037859628521027214,0.2567833829942995,0.21740911724575512,0.4741924997369748,0.34752389346979806,0.6876060539015066,0.0,0.528088077100366,0.45870155440023175,0.3352361865700381,0.7939377401803408,0.4683835310656799,0.009074959373517773,0.5247441704412011,0.5657276995305164,0.06709477637520637,0.03237184411885977,3447,0.731940818102698,0.18126911469061097,0.18126911337206475,3270,1.0,1980,0.798989898989899,0.1326281526925588,0.13262815170041198,1896,1.0,2.123679885983096,0.7759584801219334,0.7902661411561699,1.6406844601824275,0.039469423393408455,0.22291890858176433,0.19801577832839942,0.42093468860453254,0.0,0.6908877163289864,0.0,0.7684398694573161,0.27976529769065595,0.18333057933878677,0.4630958790719695,0.4466266427363191,0.009568218743011286,0.5412772585669782,0.5952380952380952,0.08125177615138483,0.030591167351328708,740,0.7418918918918919,0.18119353919818595,0.18119354152613842,698,1.0,427,0.702576112412178,0.19714179967445009,0.1971417946774519,403,1.0,0.7040498442367601,0.6776231409714297,0.7003289855359315,0.6804518700289782,0.552,0.44799999999999995,0.10204081632653061,0.096045197740113,0.0001
6,1.5353793617143585,0.4470627744552614,0.46194142957118467,1.235153828785536,0.03652148371078968,0.21868568007262276,0.15300514768247256,0.37169082651520674,0.28285448674741875,0.6870624700802082,0.0,0.452915471225272,0.4078816599622706,0.2797688553395677,0.6876505161267642,0.4549939507801968,0.008742046969937656,0.517698372756249,0.6071428571428571,0.0614859230148436,0.030829819100815982,3447,0.7740063823614738,0.1649772770344035,0.16497727685903332,3310,1.0,1980,0.8409090909090909,0.12164323985802405,0.12164323712916696,1912,1.0,2.019316970002243,0.7302919124424272,0.7474545864301307,1.5784260305660165,0.04927144328428206,0.21929190539960922,0.1720480571190516,0.3913399614509764,0.0,0.6962901630505595,0.0,0.719721315945049,0.2636432894665133,0.16357927985280474,0.42722257219742393,0.4537407347578497,0.011976984947674357,0.5778816199376947,0.54,0.08747253082718491,0.033415873700873094,740,0.7445945945945946,0.18050558081752546,0.180505585357959,702,1.0,427,0.7377049180327869,0.18850559577241155,0.18850560784260328,398,1.0,0.7266355140186916,0.7032195566677254,0.7281148859673181,0.7111646311662696,0.676,0.32399999999999995,0.11428571428571428,0.11864406779661017,0.0001
7,1.3592983064905866,0.37748164594463407,0.39270111418994275,1.124239283767128,0.035291698837058794,0.1900043832530333,0.12718670131457843,0.31719108412598146,0.23205770324381944,0.6855925034504772,0.0,0.3842144512706226,0.397911993454535,0.2784080844285175,0.6763200764087318,0.46822230766341905,0.008446671545416437,0.5440362355309512,0.5846153846153846,0.054807191392852665,0.029305088829642535,3447,0.7716855236437482,0.16256973486094325,0.16256973309363912,3323,1.0,1980,0.8272727272727273,0.11425662036383091,0.11425663040920701,1934,1.0,2.0727445440500323,0.7605871606467297,0.7871563123115498,1.5878225676367217,0.047818175595358156,0.23153001153870628,0.17612123688990453,0.4076512478454462,0.0,0.697544793287913,0.0,0.7472415325983292,0.26813786200645184,0.162813136603602,0.4309510005597385,0.4538822708262647,0.01155942222831809,0.5327102803738317,0.53125,0.08857792114651823,0.033160301302517015,740,0.7472972972972973,0.18975280441872372,0.1897528090654649,693,1.0,427,0.765807962529274,0.1977873157526626,0.19778731516944434,404,1.0,0.7313084112149533,0.7140056339119805,0.7244240414126211,0.7171919432602035,0.676,0.32399999999999995,0.11020408163265306,0.13559322033898305,0.0001
8,1.2283157059218814,0.3358325279212962,0.3550200661423422,1.022459760905712,0.03547646520095941,0.1542347889950393,0.11956149683965282,0.27379628631707065,0.19554257066115785,0.685768190585733,0.0,0.3421532352625414,0.35847697338388385,0.28073717344497906,0.6392141473091323,0.45268659680616813,0.008449301596599217,0.521556785774199,0.5763239875389408,0.051793648879826584,0.027787802548623636,3447,0.7917029300841312,0.15826713670750855,0.1582671314188499,3335,1.0,1980,0.8267676767676768,0.1275238421171753,0.12752384178342016,1928,1.0,2.152589693247715,0.7955206877253137,0.8279351959254512,1.6226582486310108,0.05022120232058463,0.2622309096615959,0.17888358968811985,0.4411144998400382,0.0,0.6837086217054326,0.0,0.7660834571097127,0.28192498890038964,0.16613365148086787,0.44805863982420474,0.4270956347757411,0.011981523351579338,0.5545171339563862,0.525,0.08950218654033372,0.030400288574621927,740,0.75,0.20641536197146854,0.20641536386725862,705,1.0,427,0.7868852459016393,0.22172934746923714,0.22172934343915324,408,1.0,0.7383177570093458,0.7190898335960919,0.7385333197611932,0.7244935472515225,0.74,0.26,0.1510204081632653,0.15254237288135594,0.0001
9,1.1285786237558288,0.29466072184350384,0.31101388081150794,0.942411359835143,0.03282509153532894,0.15560995891622761,0.09937206836097488,0.25498202671852316,0.19289376787001394,0.685097255396415,0.0,0.29959401414810743,0.3859695630512708,0.2778916384748463,0.6638612003659186,0.44556643616741204,0.007867307545440263,0.513672202650562,0.6159420289855072,0.04735106981179744,0.02578427654720056,3447,0.7829997098926603,0.1588496447840453,0.15884964807473065,3348,1.0,1980,0.8378787878787879,0.12879983612307996,0.12879982869332313,1943,1.0,2.1568925384420474,0.7988399236558754,0.8302818760740052,1.621921010477892,0.04634018223790736,0.24423219095277265,0.20297118399373468,0.44720337401228344,0.0,0.687378846224966,0.0,0.7786159877929361,0.2555680301423385,0.16991233797830957,0.4254803666815951,0.4544946405444747,0.010968958405103533,0.543613707165109,0.5595238095238095,0.08334241581068358,0.02859895780641315,740,0.754054054054054,0.1891825724896547,0.18918256581016282,710,1.0,427,0.7798594847775175,0.23068692149546444,0.23068692141965474,403,1.0,0.7367601246105919,0.7138700984436012,0.7230890498904962,0.717972204718329,0.672,0.32799999999999996,0.09591836734693877,0.15254237288135594,0.0001
10,1.0227116881811145,0.2627204449569553,0.27806579268252646,0.874028105800573,0.03219705478583051,0.12863227940228408,0.08718555520916085,0.2158178351600785,0.140764298557584,0.6841187982166439,0.0,0.26763739887699345,0.32438485553612184,0.2740532484038667,0.59843810225389,0.45436425337333886,0.007634969569540351,0.533132024828049,0.6050420168067226,0.04384518455287372,0.024223393543354444,3447,0.8178125906585436,0.15209604416951464,0.15209604420999046,3363,1.0,1980,0.8424242424242424,0.13122819812234604,0.13122819037183475,1952,1.0,2.1092386715508695,0.7845555064369957,0.8197580352657681,1.5864382889411903,0.051364005096488835,0.24938922207164244,0.17227737419887496,0.42166659644459636,0.0,0.6908477023011799,0.0,0.7637424310698316,0.2741138975011225,0.14058643050282915,0.41470032837532017,0.43602001887522757,0.011994005218904152,0.5397196261682243,0.5844155844155844,0.08689504178901356,0.02936804846796878,740,0.7513513513513513,0.1968389719976364,0.19683896493343128,710,1.0,427,0.8032786885245902,0.19620942574570205,0.1962094344762548,405,1.0,0.7414330218068536,0.7217367480227349,0.7404681882543809,0.7291135325078212,0.676,0.32399999999999995,0.1306122448979592,0.11864406779661017,0.0001
