epoch,train_loss,train_final_role_loss,train_direct_role_loss,train_species_loss,train_consistency_loss,train_ti_verifier_loss,train_metallic_verifier_loss,train_verifier_loss,train_contrast_loss,train_gate_regret_loss,train_decomposition_loss,train_calibration_loss,train_phr_ti_gate_loss,train_phr_metallic_gate_loss,train_phr_pairwise_regret_loss,train_mean_gate,train_mean_expert_js_divergence,train_gate_selection_accuracy,train_one_right_gate_selection_accuracy,train_mean_routing_regret_nll,train_mean_weighted_gate_error,train_phr_ti_eligible_count,train_phr_ti_gate_selection_accuracy,train_phr_ti_mean_margin_regret,train_phr_ti_mean_weighted_gate_error,train_phr_ti_sign_agreement_count,train_phr_ti_sign_preservation_rate,train_phr_metallic_eligible_count,train_phr_metallic_gate_selection_accuracy,train_phr_metallic_mean_margin_regret,train_phr_metallic_mean_weighted_gate_error,train_phr_metallic_sign_agreement_count,train_phr_metallic_sign_preservation_rate,val_loss,val_final_role_loss,val_direct_role_loss,val_species_loss,val_consistency_loss,val_ti_verifier_loss,val_metallic_verifier_loss,val_verifier_loss,val_contrast_loss,val_gate_regret_loss,val_decomposition_loss,val_calibration_loss,val_phr_ti_gate_loss,val_phr_metallic_gate_loss,val_phr_pairwise_regret_loss,val_mean_gate,val_mean_expert_js_divergence,val_gate_selection_accuracy,val_one_right_gate_selection_accuracy,val_mean_routing_regret_nll,val_mean_weighted_gate_error,val_phr_ti_eligible_count,val_phr_ti_gate_selection_accuracy,val_phr_ti_mean_margin_regret,val_phr_ti_mean_weighted_gate_error,val_phr_ti_sign_agreement_count,val_phr_ti_sign_preservation_rate,val_phr_metallic_eligible_count,val_phr_metallic_gate_selection_accuracy,val_phr_metallic_mean_margin_regret,val_phr_metallic_mean_weighted_gate_error,val_phr_metallic_sign_agreement_count,val_phr_metallic_sign_preservation_rate,accuracy,macro_precision,macro_recall,macro_f1,target_recall,target_miss_rate,ti_to_target_intrusion_rate,metallic_to_target_intrusion_rate,learning_rate
1,3.4080433642738237,1.1208910229541655,1.1154853208735773,2.508488894288841,0.06634132855104193,0.49918065282986923,0.5868901658870094,1.0860708183619106,0.6886276188607264,0.7071315361397156,0.0,1.1226265610634252,0.647911163009147,0.0,0.647911163009147,0.5929535776951672,0.015663267305987875,0.5587988592518034,0.5510204081632653,0.1124789848101257,0.036928707380633266,3447,0.6182187409341456,0.24854456672600567,0.24854456549801313,2526,1.0,0,nan,nan,nan,0,nan,2.4546284675598145,0.8866686148806896,0.8898794558189368,2.0591461621340934,0.05796394161763964,0.2384268532382365,0.17245888728590397,0.4108857398278245,0.0,0.698187591316544,0.0,0.8871526699571223,0.34858875779719367,0.0,0.34858875779719367,0.544004773750112,0.013429664373802198,0.6082554517133957,0.5664335664335665,0.09851021942794265,0.03805194870232146,740,0.6675675675675675,0.2219620771605421,0.22196208249672938,656,1.0,0,nan,nan,nan,0,nan,0.6487538940809969,0.6229398154401438,0.6409780561742086,0.6234645915757959,0.496,0.504,0.11428571428571428,0.11299435028248588,0.0001
2,2.672332394865011,0.8494128595260821,0.8550002608192665,1.9763811457139138,0.044518392699923894,0.40647830619015685,0.4479462920811988,0.8544245995324923,0.6059407779327917,0.6973443296987165,0.0,0.8509563807172477,0.589862422512354,0.0,0.589862422512354,0.5066446021006744,0.010448868271098907,0.5208857574232512,0.4964912280701754,0.08715599564891831,0.034581678582261875,3447,0.6756599941978532,0.1945821145243569,0.19458211585498272,3173,1.0,0,nan,nan,nan,0,nan,2.1932914338750633,0.792362422215233,0.8254744653761201,1.8020133756774237,0.04356811633130472,0.22639504186460904,0.15216055150343993,0.378555594110786,0.0,0.693030601721315,0.0,0.7947817582207677,0.30616035138335185,0.0,0.30616035138335185,0.4734933583582302,0.010419381588738324,0.5319314641744548,0.5045871559633027,0.08473664280477762,0.034406929402223875,740,0.7391891891891892,0.20207683672826435,0.20207683524286776,672,1.0,0,nan,nan,nan,0,nan,0.6806853582554517,0.6686205734982316,0.693235561457761,0.6711368574248566,0.732,0.268,0.20408163265306123,0.1751412429378531,0.0001
3,2.2723934555029714,0.7158335112541478,0.72448672268979,1.7109239376985153,0.0359488422080132,0.34596637192837965,0.3404015561059865,0.6863679281418564,0.5078718472579005,0.6930026111437199,0.0,0.7178240267747682,0.5310999385873817,0.0,0.5310999385873817,0.4683527049602748,0.008648197014755523,0.529273611810099,0.5488069414316703,0.07482007121137782,0.032241219609111034,3447,0.7133739483608935,0.17907829002715261,0.17907829244039533,3225,1.0,0,nan,nan,nan,0,nan,2.0077822758029926,0.7204559928160219,0.7363478097588845,1.657023214848242,0.040290415136149366,0.20282355556699716,0.13950406000992963,0.3423276135344,0.0,0.699138423735479,0.0,0.7220182918313879,0.2962103963269623,0.0,0.2962103963269623,0.4835044784802143,0.009809174795682225,0.5194704049844237,0.5737704918032787,0.07940571344299083,0.03373694813842753,740,0.7283783783783784,0.1781958739298421,0.178195866734038,688,1.0,0,nan,nan,nan,0,nan,0.7032710280373832,0.6798723441129819,0.7032828609945803,0.687565988497949,0.648,0.352,0.14081632653061224,0.12429378531073447,0.0001
4,1.9806414522034392,0.6097659365160116,0.6233571492831712,1.5201569195862406,0.03627527073479413,0.30628719179447494,0.27238530488401985,0.578672497389681,0.41798888253242733,0.6912375131502905,0.0,0.612710745737389,0.5107134080557111,0.0,0.5107134080557111,0.46157110368089577,0.008707878852130932,0.5379969803724207,0.5743707093821511,0.07125820503401405,0.032684034752124065,3447,0.7197563098346388,0.1890896553741587,0.1890896571644775,3261,1.0,0,nan,nan,nan,0,nan,2.0154879431115504,0.732452264920202,0.7555121859286061,1.6317636004860898,0.03819777526982662,0.20528638741216185,0.14849142344941232,0.3537778103045214,0.0,0.6972471995517101,0.0,0.7349857945122823,0.27842410275497914,0.0,0.27842410275497914,0.44067228195544716,0.009417787306277112,0.5225856697819314,0.5670103092783505,0.07982824154001333,0.03212221533017138,740,0.7405405405405405,0.1810864312624609,0.1810864370108214,696,1.0,0,nan,nan,nan,0,nan,0.7087227414330218,0.6873435849749736,0.7158594067655233,0.6933891149376719,0.656,0.344,0.14285714285714285,0.11299435028248588,0.0001
5,1.7277913396739655,0.5233189596303496,0.5350417080911049,1.3561667808048918,0.03475055590614419,0.25683471984940076,0.2169840940251019,0.47381881293864925,0.3461957053699923,0.6908907590546758,0.0,0.5261849584975032,0.4853544980012577,0.0,0.4853544980012577,0.46311423418716263,0.008370005809709757,0.5192081865458815,0.589873417721519,0.06500125131863331,0.031040037927107116,3447,0.7368726428778648,0.18278707948510356,0.18278707632969363,3288,1.0,0,nan,nan,nan,0,nan,2.1143255835381622,0.7746964376477808,0.7961538296622279,1.6509674698392922,0.03736701657606805,0.22335388782692384,0.19983913853903798,0.42319302468319825,0.0,0.703126820448403,0.0,0.7755184742706216,0.2946105236390669,0.0,0.2946105236390669,0.4199691729799981,0.009029654619691043,0.5327102803738317,0.5402298850574713,0.08055896934020211,0.029961575431454442,740,0.7418918918918919,0.18375796650511186,0.18375797244606892,704,1.0,0,nan,nan,nan,0,nan,0.7024922118380063,0.6756809852549561,0.6963535401136856,0.6775825518449785,0.544,0.45599999999999996,0.09591836734693877,0.1016949152542373,0.0001
6,1.5143029972563413,0.44913055645381617,0.46107394834069515,1.2362552567269054,0.03376070290273957,0.21909989233490726,0.15292206252997748,0.3720219553346863,0.28397912283238497,0.6879020795248595,0.0,0.4512048709654524,0.45201157009695586,0.0,0.45201157009695586,0.45139686784284705,0.008091437573188863,0.5183694011071968,0.5952380952380952,0.05938643253197317,0.029507640211378146,3447,0.7722657383231796,0.17502317057091937,0.17502316849660235,3325,1.0,0,nan,nan,nan,0,nan,1.9967622534136906,0.7230065588917688,0.7508842870360966,1.5774961903087819,0.04678481248587463,0.2176477058073999,0.17162055557019243,0.3892682614124081,0.0,0.7054852440349781,0.0,0.7220962340029601,0.2742540634866816,0.0,0.2742540634866816,0.43463553754595396,0.011373431625194,0.5872274143302181,0.5445544554455446,0.08630436452798779,0.032582632949282084,740,0.7418918918918919,0.18249965785322964,0.1824996578303792,702,1.0,0,nan,nan,nan,0,nan,0.7289719626168224,0.704382632228552,0.7264490264031536,0.7118415071427604,0.672,0.32799999999999996,0.10612244897959183,0.12429378531073447,0.0001
7,1.3374928918946332,0.379205360186218,0.39166507412874946,1.125024178627653,0.032114628008089494,0.19092766415765874,0.12712971602271234,0.31805738050792465,0.2323320176971258,0.6878892532872426,0.0,0.3828544689242701,0.4359688700855308,0.0,0.4359688700855308,0.45883976741612825,0.007728495038930916,0.533467539003523,0.5993377483443708,0.05257393061647072,0.027855785099104195,3447,0.7725558456628953,0.16725401140150728,0.16725400955947944,3328,1.0,0,nan,nan,nan,0,nan,2.052686794153255,0.7528706221751335,0.7902623194957448,1.5909658856109667,0.04397734369490748,0.2301770655026317,0.1770666895254379,0.40724375291881254,0.0,0.70547734836923,0.0,0.7523021583802232,0.2820029823208152,0.0,0.2820029823208152,0.4382819783731692,0.010596240011162964,0.5327102803738317,0.5257731958762887,0.08591082768965454,0.031669509719054106,740,0.7364864864864865,0.186588214373065,0.18658821861270652,703,1.0,0,nan,nan,nan,0,nan,0.7274143302180686,0.7097942580490313,0.7199912038708247,0.7127363064777535,0.668,0.33199999999999996,0.10612244897959183,0.14124293785310735,0.0001
8,1.2077221503455333,0.3382654592227344,0.3548915600030739,1.0241499311510818,0.031740916689154464,0.15504933579896266,0.11854928425109963,0.27359861904163724,0.19558878927001805,0.687375971163465,0.0,0.3416910212405115,0.40388949448641187,0.0,0.40388949448641187,0.44136798960878393,0.007583936532424509,0.5054521053514511,0.57,0.0492471904441727,0.026223452932575785,3447,0.78706121264868,0.16475675429814893,0.16475675105956258,3344,1.0,0,nan,nan,nan,0,nan,2.122806638572075,0.779980141936433,0.8265013797353733,1.6285546189899385,0.04494153632785301,0.26150012399560285,0.1793215630396133,0.4408216868466306,0.0,0.6844163161943263,0.0,0.7693807455330994,0.28577193283589086,0.0,0.28577193283589086,0.4150532630048808,0.010667128023063849,0.572429906542056,0.6081081081081081,0.08502789824749052,0.02854774810481738,740,0.75,0.20303889747608353,0.20303888148908397,707,1.0,0,nan,nan,nan,0,nan,0.7390965732087228,0.7183088682469311,0.7370843401693564,0.7240541788731121,0.724,0.276,0.14285714285714285,0.15819209039548024,0.0001
9,1.1032073751349434,0.2946768557739386,0.3090782209223418,0.9446521370308129,0.03003900860494224,0.15610633284600964,0.0976218280928475,0.2537281617129775,0.19177867596785586,0.6867529570386426,0.0,0.29751267176789536,0.4121374887940948,0.0,0.4121374887940948,0.4320304664843956,0.0072154390594315835,0.5083039758429794,0.6169354838709677,0.04501044588050397,0.02441020996909196,3447,0.7890919640266899,0.16241371620598827,0.1624137206042772,3350,1.0,0,nan,nan,nan,0,nan,2.1371898833093614,0.7880961965781135,0.8361510449666472,1.6289882767608976,0.04356344978432418,0.2462811975673166,0.2055076713038382,0.45178886977636556,0.0,0.6899991774484747,0.0,0.7859646130782607,0.2631108493448418,0.0,0.2631108493448418,0.4541230037390629,0.010347218726017926,0.543613707165109,0.6024096385542169,0.0816575587375801,0.027720516274866387,740,0.75,0.19068988162420086,0.19068988560794498,708,1.0,0,nan,nan,nan,0,nan,0.7375389408099688,0.715064438064107,0.7234514477106596,0.7186876484995327,0.668,0.33199999999999996,0.10204081632653061,0.15254237288135594,0.0001
10,0.9975944340199037,0.2623521557311807,0.2761746273182159,0.8743952108677392,0.030117975564626986,0.1291184560341876,0.08529696686421141,0.21441542334020927,0.1399674712051196,0.6864791997945703,0.0,0.2655700043061299,0.3613683913572385,0.0,0.3613683913572385,0.44628374748628147,0.007158271529082999,0.5198792148968294,0.6416666666666667,0.04238503921523958,0.02340346803749299,3447,0.810850014505367,0.15852652599022965,0.1585265297461636,3361,1.0,0,nan,nan,nan,0,nan,2.0953794994458232,0.7771484306505722,0.8246305139265327,1.593909652619347,0.04853804803212577,0.25043733929780043,0.1742429660859509,0.4246803079949361,0.0,0.6954580580705423,0.0,0.770851908396709,0.28378824457943996,0.0,0.28378824457943996,0.4378876452192061,0.01132039358692991,0.5498442367601246,0.6521739130434783,0.08625353426966591,0.028565811799883854,740,0.754054054054054,0.19598495958221926,0.19598494996098453,711,1.0,0,nan,nan,nan,0,nan,0.7375389408099688,0.7190351567396926,0.7355362198636439,0.7253690666267204,0.692,0.30800000000000005,0.1326530612244898,0.12994350282485875,0.0001
