image_id,relative_path,file_name,mineral_label,four_class_label,four_class_id,source_site,source_type,mindat_photo_id,detail_page_url,download_source_url,page_title,locality,photographer_or_credit,license_or_rights,screening_decision,manual_review_required,metadata_source_file,metadata_status,metadata_missing_fields,width,height,aspect_ratio,megapixels,file_size_bytes,image_format,image_mode,sha256,dhash64,dimension_pass,quality_status,quality_error,exact_duplicate_group_size,near_duplicate_group_id,near_duplicate_group_size,split_group_id,split
VTM-000001,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p001120_012_raw.jpg,ilmenite_mindat_p001120_012_raw.jpg,ilmenite,target_mineral,0,Mindat,manual_download,1120,https://www.mindat.org/photo-1120.html,https://www.mindat.org/imagecache/3d/64/00440290017362298571498.jpg,"IlmeniteKragerø, Telemark, NorwayCluster of four well defined ilmenite crystals. Color is a reddish gray, possible due to a surface alteration. Ex. A. Stevenson collection #75. Overall size of mineral specimen: 25x17x16 mm. Size of individual crystals: 9-15 mm.© 2001 John H. Betts",,"IlmeniteKragerø, Telemark, NorwayCluster of four well defined ilmenite crystals. Color is a reddish gray, possible due to a surface alteration. Ex. A. Stevenson collection #75. Overall size of mineral specimen: 25x17x16 mm. Size of individual crystals: 9-15 mm.© 2001 John H. Betts",Mindat photo page rights; verify per photo before republication,keep_prelim,yes,mindat_ilmenite_manifest.csv,complete_core,,640,654,0.978593,0.4186,92070,JPEG,RGB,414e02d90ae246c7aa1fb867071dd06677bb647573bee97899ac100de162e18c,03072b3131390f0e,True,pass,,1,DG-c2b875fce882,1,DG-c2b875fce882,train
VTM-000002,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p001236_041_raw.jpg,ilmenite_mindat_p001236_041_raw.jpg,ilmenite,target_mineral,0,Mindat,manual_download,1236,https://www.mindat.org/photo-1236.html,https://www.mindat.org/imagecache/70/80/04832690017362298707307.jpg,"IlmeniteNew Idria Mining District, San Benito County, California, USAExcellent single ilmenite crystal 6 mm long perched on matrix. No damage, very lustrous. Ex. A. Stevenson collection #386. Overall size of mineral specimen: 20x20x15 mm. Size of individual crystals: 6 mm.© 2001 John H. Betts",,"IlmeniteNew Idria Mining District, San Benito County, California, USAExcellent single ilmenite crystal 6 mm long perched on matrix. No damage, very lustrous. Ex. A. Stevenson collection #386. Overall size of mineral specimen: 20x20x15 mm. Size of individual crystals: 6 mm.© 2001 John H. Betts",Mindat photo page rights; verify per photo before republication,keep_prelim,yes,mindat_ilmenite_manifest.csv,complete_core,,640,652,0.981595,0.4173,110814,JPEG,RGB,396b66978b91c057e662fb8a2e6086073b207b27388f22f8c437e21ed7b3b26f,0f0f135933271611,True,pass,,1,DG-9b07413cd739,1,DG-9b07413cd739,train
VTM-000003,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p001739_022_raw.jpg,ilmenite_mindat_p001739_022_raw.jpg,ilmenite,target_mineral,0,Mindat,manual_download,1739,https://www.mindat.org/photo-1739.html,https://www.mindat.org/imagecache/57/27/08785700017362298619892.jpg,"Ilmenite, RutileMartin Marietta Quarry, Hickory, Catawba County, North Carolina, USAIlmenite in calcite. Brown areas making up majority of crystal consist of a thin layer of epimorphic rutile preserving the original ilmenite crystal faces. Black areas are exposed ilmenite. Field of view is 22mm. Collected by, photographed by, and in the collection of Keith Wood.© Keith Wood, use by permission only.",,"Ilmenite, RutileMartin Marietta Quarry, Hickory, Catawba County, North Carolina, USAIlmenite in calcite. Brown areas making up majority of crystal consist of a thin layer of epimorphic rutile preserving the original ilmenite crystal faces. Black areas are exposed ilmenite. Field of view is 22mm. Collected by, photographed by, and in the collection of Keith Wood.© Keith Wood, use by permission only.",Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_ilmenite_manifest.csv,complete_core,,640,488,1.311475,0.3123,255663,JPEG,RGB,a105fc044aee5a20bb91cb66b17235e51dc36aa5e2b3042d4127a1cd6e82173e,76dcc686ecd4129a,True,pass,,1,DG-a8286817ee0d,1,DG-a8286817ee0d,val
VTM-000004,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p002530_046_raw.jpg,ilmenite_mindat_p002530_046_raw.jpg,ilmenite,target_mineral,0,Mindat,manual_download,2530,https://www.mindat.org/photo-2530.html,https://www.mindat.org/imagecache/80/e6/01904000017362298729483.jpg,"IlmeniteBentley Lake occurrence, Faraday Township, Hastings County, Ontario, Canada2.5cm© OsoSoft Mineral Connection",,,Mindat photo page rights; verify per photo before republication,keep_prelim,yes,mindat_ilmenite_manifest.csv,complete_core,,640,480,1.333333,0.3072,36951,JPEG,RGB,16bc9ae2184e0ddca50944f6e0233dcad3b1b8fddac35f60fab9e830a1b1b14d,33735b7d6d79b9f1,True,pass,,1,DG-93711816d7a2,1,DG-93711816d7a2,train
VTM-000005,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004285_047_raw.jpg,ilmenite_mindat_p004285_047_raw.jpg,ilmenite,target_mineral,0,Mindat,manual_download,4285,https://www.mindat.org/photo-4285.html,https://www.mindat.org/imagecache/6d/a7/04067980017362298724667.jpg,"Ilmenite, Biotite, QuartzMartin Marietta Quarry, Hickory, Catawba County, North Carolina, USA8mm wide ilmenite crystal on a bed of bleached biotite crystals with white quartz. The ilmenite crystal is less than 1mm thick. There is a similar crystal visible nearly edge-on to the left. The ilmenite and biotite were exposed by dissolving enclosing ankerite with acid, a process that also bleached the biotite. A partially bleached biotite grain  ...© 2002, Keith Wood. Use by permission only.",,,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_ilmenite_manifest.csv,complete_core,,640,506,1.264822,0.3238,91678,JPEG,RGB,560002b2c47f070509b3be940b51a01fe970a6e9e477e8a74dcd6a178d9b777c,3135347879d25294,True,pass,,1,DG-c56c77bc69b9,1,DG-c56c77bc69b9,train
VTM-000006,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004315_052_raw.jpg,ilmenite_mindat_p004315_052_raw.jpg,ilmenite,target_mineral,0,Mindat,manual_download,4315,https://www.mindat.org/photo-4315.html,https://www.mindat.org/imagecache/73/a8/08224990017362298748091.jpg,"IlmeniteMartin Marietta Quarry, Hickory, Catawba County, North Carolina, USAThin ilmenite crystals up to 1.2cm wide in a vug in biotite schist. Note the angled faces on the edges of the crystals. All the ilmenite crystals are less than 1mm thick. Crystals were exposed by dissolving enclosing ankerite with acid. Occurrence and habit are typical for this location.The crystallization order for ankerite veins is  ...© 2002, Keith Wood. Use by permission only.",,,Mindat photo page rights; verify per photo before republication,keep_prelim,yes,mindat_ilmenite_manifest.csv,complete_core,,640,852,0.751174,0.5453,175873,JPEG,RGB,fd265ce96bbdd5fd41168f27566eeaf022be33176428cd639d499e210eedc2c4,f0e8e0b1b89c89a3,True,pass,,1,DG-329265e8e87c,1,DG-329265e8e87c,train
VTM-000007,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004329_040_raw.jpg,ilmenite_mindat_p004329_040_raw.jpg,ilmenite,target_mineral,0,Mindat,manual_download,4329,https://www.mindat.org/photo-4329.html,https://www.mindat.org/imagecache/5f/c8/07632910017362298707951.jpg,"Ilmenite, AnkeriteMartin Marietta Quarry, Hickory, Catawba County, North Carolina, USAA 6.5x5.5cm specimen of ilmenite crystals in white, opaque ankerite with translucent smoky quartz. Most of the ilmenite crystals are veiwed edge-on as they typically appear in ankerite veins at this locality. The specimen is as-found. Note the parallel growth of ilmenite crystals at the bottom left corner of the specimen. At the bottom right  ...© 2002, Keith Wood. Use by permission only.",,"Ilmenite, AnkeriteMartin Marietta Quarry, Hickory, Catawba County, North Carolina, USAA 6.5x5.5cm specimen of ilmenite crystals in white, opaque ankerite with translucent smoky quartz. Most of the ilmenite crystals are veiwed edge-on as they typically appear in ankerite veins at this locality. The specimen is as-found. Note the parallel growth of ilmenite crystals at the bottom left corner of the specimen. At the bottom right  ...© 2002, Keith Wood. Use by permission only.",Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_ilmenite_manifest.csv,complete_core,,640,484,1.322314,0.3098,107919,JPEG,RGB,7718faef29bd91475f72df638c3b267784611bed2a591fe62373c0ec2a255c9b,26438317173373b4,True,pass,,1,DG-29b5b23f3d2a,1,DG-29b5b23f3d2a,val
VTM-000008,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004514_051_raw.jpg,ilmenite_mindat_p004514_051_raw.jpg,ilmenite,target_mineral,0,Mindat,manual_download,4514,https://www.mindat.org/photo-4514.html,https://www.mindat.org/imagecache/de/e4/05402720017362055994344.jpg,"IlmeniteThe Cove, Topaz Mountain, Thomas Range, Juab County, Utah, USA1.2mm ilmenite crystal on quartz© Steve Rust",,,Mindat photo page rights; verify per photo before republication,keep_prelim,yes,mindat_ilmenite_manifest.csv,complete_core,,640,670,0.955224,0.4288,77064,JPEG,RGB,2ccf743fb4e2db166f6121eb2e9e6b7c8ca37b8ef9e18fc47a0f41ea8063fbe1,898b6253e3472747,True,pass,,1,DG-866dc24795ee,1,DG-866dc24795ee,train
VTM-000009,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p004515_037_raw.jpg,ilmenite_mindat_p004515_037_raw.jpg,ilmenite,target_mineral,0,Mindat,manual_download,4515,https://www.mindat.org/photo-4515.html,https://www.mindat.org/imagecache/e9/d3/09887700017362055986947.jpg,"IlmeniteThe Cove, Topaz Mountain, Thomas Range, Juab County, Utah, USA1.25mm crystal of ilmenite, collected from the west wall.© Steve Rust",,,Mindat photo page rights; verify per photo before republication,keep_prelim,yes,mindat_ilmenite_manifest.csv,complete_core,,640,608,1.052632,0.3891,53217,JPEG,RGB,cb7130e98a493b2e5fd10cdc361b8c011d208a5d2fd869aa487fc146d1b2d2a3,6613252131311693,True,pass,,1,DG-975d144850cf,1,DG-975d144850cf,train
VTM-000010,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p014362_042_raw.jpg,ilmenite_mindat_p014362_042_raw.jpg,ilmenite,target_mineral,0,Mindat,manual_download,14362,https://www.mindat.org/photo-14362.html,https://www.mindat.org/imagecache/d3/15/06175520017362298716576.jpg,"Ilmenite, EnstatiteSummit Rock, Klamath County, Oregon, USAThe most frequently occurring minerals from Summit Rock all converge in this one micromount.  Ilmenite, on the right, seems to have a fondness for the enstatite on the left and shares crystal surfaces. Surrounding the couple are tabular tridymites. Less discernible in this 3.0 mm field of view, are white acicular apatites.  Photomicrograph © Saul  ...© Saul Krotki 2003",,"Ilmenite, EnstatiteSummit Rock, Klamath County, Oregon, USAThe most frequently occurring minerals from Summit Rock all converge in this one micromount.  Ilmenite, on the right, seems to have a fondness for the enstatite on the left and shares crystal surfaces. Surrounding the couple are tabular tridymites. Less discernible in this 3.0 mm field of view, are white acicular apatites.  Photomicrograph © Saul  ...© Saul Krotki 2003",Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_ilmenite_manifest.csv,complete_core,,640,640,1.0,0.4096,79452,JPEG,RGB,eb01a78547a566a7e99cbf9d7afe0f2aabd6e2acde01c7dfc44114db80e105c6,4559b8e0e8c84d51,True,pass,,1,DG-de799a8fec64,1,DG-de799a8fec64,test
