image_id,relative_path,file_name,mineral_label,four_class_label,four_class_id,source_site,source_type,mindat_photo_id,detail_page_url,download_source_url,page_title,locality,photographer_or_credit,license_or_rights,screening_decision,manual_review_required,metadata_source_file,metadata_status,metadata_missing_fields,width,height,aspect_ratio,megapixels,file_size_bytes,image_format,image_mode,sha256,dhash64,dimension_pass,quality_status,quality_error,exact_duplicate_group_size,near_duplicate_group_id,near_duplicate_group_size,split_group_id,split
VTM-000369,raw_positive/magnetite_proxy/magnetite_mindat_p017959_874_raw.jpg,magnetite_mindat_p017959_874_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,17959,https://www.mindat.org/photo-17959.html,https://www.mindat.org/imagecache/a0/e7/09872140017363522984958.jpg,"Magnetite, Calcite","Kovdor Massif, Kovdorsky District, Murmansk Oblast, Russia",Druze of black with blueing crystals of magnetite on a calcite matrix. Size of the specimen is 8x4x4 cm. Max. size of individual crystals is 2 cm.,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,272,2.352941,0.1741,60620,JPEG,RGB,dfcb9723ca83b8ae8cf9df0402f71d00eb89fe6beb42bec374d4233443d35c79,98c8c9e820c0f458,False,exclude_low_resolution,,1,DG-1095b0377047,1,DG-1095b0377047,excluded
VTM-000462,raw_positive/magnetite_proxy/magnetite_mindat_p071110_068_raw.jpg,magnetite_mindat_p071110_068_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,71110,https://www.mindat.org/photo-71110.html,https://www.mindat.org/imagecache/07/69/07136400017365217265827.jpg,Magnetite,"Cerro Huañaquina, Yocalla Municipality, Tomás Frías Province, Potosí, Bolivia","From a wonderful recent find, this specimen is COVERED with razor-sharp magnetite crystals to one centimeter on edge. The crystals show TOP gunmetal metallic luster, REALLY flashy. And unlike many of these specimens from prior finds in Bolivia, there are no areas of corroded or dinged crystals! The matrix shows here and there as well, isolating ...",Mindat photo page rights; verify per photo before republication,keep_prelim,,mindat_magnetite_manifest.csv,complete_core,,640,292,2.191781,0.1869,70270,JPEG,RGB,a6cb4b4a77eebc5cd226c0c36ebed79023b306a9cbd40aa2bc1c6c317369f4ee,9968ece6c2b4c0e1,False,exclude_low_resolution,,1,DG-a12176748eb1,1,DG-a12176748eb1,excluded
VTM-000496,raw_positive/magnetite_proxy/magnetite_mindat_p091046_293_raw.jpg,magnetite_mindat_p091046_293_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,91046,https://www.mindat.org/photo-91046.html,https://www.mindat.org/imagecache/ee/e0/07998910017372232323565.jpg,Magnetite,"Loire river alluvial deposits, Gien, Montargis, Loiret, Centre-Val de Loire, France",© François Périnet,Mindat photo page rights; verify per photo before republication,keep_prelim,,mindat_magnetite_manifest.csv,complete_core,,640,472,1.355932,0.3021,37096,JPEG,RGB,c6a83a2aed81e55351fd8e7f5c5efaff0d83c2c93963d10fde4742414e22506b,304cb2b2b2b20c30,True,exclude_near_label_conflict,,1,DG-88cbb4bfd680,4,DG-88cbb4bfd680,excluded
VTM-000641,raw_positive/magnetite_proxy/magnetite_mindat_p1163316_602_raw.jpg,magnetite_mindat_p1163316_602_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1163316,https://www.mindat.org/photo-1163316.html,https://www.mindat.org/imagecache/42/be/09673630017363720365364.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Microcline, Quartz","Imilchil Cercle, Midelt Province, Drâa-Tafilalet Region, Morocco",© Fabre Minerals https://www.fabreminerals.com,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,582,1.099656,0.3725,95314,JPEG,RGB,36903b66a3a6fc09721bc4f1f5063a489db16abf38272eb6dbd5a292df8bfc72,1270f1e1e4dcf0e8,True,exclude_exact_label_conflict,,2,DG-64ffcbb40eb4,2,DG-64ffcbb40eb4,excluded
VTM-000642,raw_positive/magnetite_proxy/magnetite_mindat_p1163636_604_raw.jpg,magnetite_mindat_p1163636_604_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1163636,https://www.mindat.org/photo-1163636.html,https://www.mindat.org/imagecache/67/ed/01613570017363720357435.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Microcline, Quartz","Imilchil Cercle, Midelt Province, Drâa-Tafilalet Region, Morocco",© Fabre Minerals https://www.fabreminerals.com,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,758,0.844327,0.4851,143679,JPEG,RGB,eaf804423000a599a70118167005cb48efd6458b20f8f28ff5c660dc37bc2639,83d0d4cccccce860,True,exclude_exact_label_conflict,,2,DG-4cfad1d61302,2,DG-4cfad1d61302,excluded
VTM-000655,raw_positive/magnetite_proxy/magnetite_mindat_p1173664_605_raw.jpg,magnetite_mindat_p1173664_605_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1173664,https://www.mindat.org/photo-1173664.html,https://www.mindat.org/imagecache/a4/6d/05072330017363720361844.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Microcline, Quartz","Imilchil Cercle, Midelt Province, Drâa-Tafilalet Region, Morocco",© Fabre Minerals https://www.fabreminerals.com,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,758,0.844327,0.4851,121278,JPEG,RGB,8367e5833e91813ad3fc61ac95d664c67544e06aa842fc168b46681bbd774e79,33f0c8e8d0e07973,True,exclude_exact_label_conflict,,2,DG-34372c60fc84,2,DG-34372c60fc84,excluded
VTM-000664,raw_positive/magnetite_proxy/magnetite_mindat_p1186432_603_raw.jpg,magnetite_mindat_p1186432_603_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1186432,https://www.mindat.org/photo-1186432.html,https://www.mindat.org/imagecache/36/d2/05742270017363720345958.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Microcline, Quartz","Imilchil Cercle, Midelt Province, Drâa-Tafilalet Region, Morocco",© Fabre Minerals https://www.fabreminerals.com,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,552,1.15942,0.3533,101090,JPEG,RGB,758b8361db58370e7329cd48971af10e6d93e35d9d2c70bcc612c9800260cc04,26e090c4c4d4d474,True,exclude_exact_label_conflict,,2,DG-3107492c292c,2,DG-3107492c292c,excluded
VTM-000674,raw_positive/magnetite_proxy/magnetite_mindat_p1198602_601_raw.jpg,magnetite_mindat_p1198602_601_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1198602,https://www.mindat.org/photo-1198602.html,https://www.mindat.org/imagecache/73/25/09854740017363720355079.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Quartz","Imilchil Cercle, Midelt Province, Drâa-Tafilalet Region, Morocco",© Fabre Minerals https://www.fabreminerals.com,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,928,0.689655,0.5939,175659,JPEG,RGB,3ce2c537dea103899fa096ced6755774b03ef9125034664baa4e81f4eb133b6f,b974e4ccecdcc0c0,True,exclude_exact_label_conflict,,2,DG-7fe962444066,2,DG-7fe962444066,excluded
VTM-000712,raw_positive/magnetite_proxy/magnetite_mindat_p1252070_1003_raw.jpg,magnetite_mindat_p1252070_1003_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1252070,https://www.mindat.org/photo-1252070.html,https://www.mindat.org/imagecache/ba/29/01787960017365497933930.jpg,Magnetite (Var: Titanium-bearing Magnetite),"Transvaal, South Africa",,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,436,1.46789,0.279,120690,JPEG,RGB,02497d7a0ebb04123ac30311116a2c9351d1545d69ada555dc3628e2131435dd,3860cad2b8f8d093,True,exclude_exact_label_conflict,,2,DG-b329915fc120,2,DG-b329915fc120,excluded
VTM-000814,raw_positive/magnetite_proxy/magnetite_mindat_p1378782_231_raw.jpg,magnetite_mindat_p1378782_231_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1378782,https://www.mindat.org/photo-1378782.html,https://www.mindat.org/imagecache/af/b6/02392210017362061223278.jpg,"Magnetite, Quartz, Quartzite","Jõhvi magnetic anomaly, Jõhvi, Ida-Viru County, Estonia",© Estonian Geological Survey,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,286,2.237762,0.183,93065,JPEG,RGB,1c1fbcfbb582c41d6c6d321ab786832d0862b53cc3ff0d4246ea76c384deb9c9,1d4e0b1b0a2e253e,False,exclude_low_resolution,,1,DG-e83449f13d79,1,DG-e83449f13d79,excluded
VTM-000815,raw_positive/magnetite_proxy/magnetite_mindat_p1378783_233_raw.jpg,magnetite_mindat_p1378783_233_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1378783,https://www.mindat.org/photo-1378783.html,https://www.mindat.org/imagecache/aa/e9/03423980017362061295486.jpg,"Magnetite, Quartz, Quartzite","Jõhvi magnetic anomaly, Jõhvi, Ida-Viru County, Estonia",© Estonian Geological Survey,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,238,2.689076,0.1523,69218,JPEG,RGB,529184beff7f8c3f4d093f2bac06608a28051d9bf6e157bde2e33a6d7a92a49a,01111b0d8ccd4d2f,False,exclude_low_resolution,,1,DG-49e3dda81443,1,DG-49e3dda81443,excluded
