image_id,relative_path,mineral_label,four_class_label,four_class_id,mindat_photo_id,split_group_id,split,review_decision,review_reason,expert_note,reviewer,review_date
VTM-000079,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298637_166_raw.jpg,ilmenite,target_mineral,0,1298637,DG-865801959617,train,exclude,microscope_image,,,
VTM-000088,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298697_153_raw.jpg,ilmenite,target_mineral,0,1298697,DG-6aab048ce8a7,train,exclude,microscope_image,,,
VTM-000102,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1335727_328_raw.jpg,ilmenite,target_mineral,0,1335727,DG-8f39b68c7460,train,exclude,microscope_image,,,
VTM-000103,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1335730_326_raw.jpg,ilmenite,target_mineral,0,1335730,DG-edd7bbc96d6a,train,exclude,microscope_image,,,
VTM-000104,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1335735_339_raw.jpg,ilmenite,target_mineral,0,1335735,DG-c81168f6c3c0,train,exclude,microscope_image,,,
VTM-000105,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1335740_335_raw.jpg,ilmenite,target_mineral,0,1335740,DG-d22c52e943d5,val,exclude,microscope_image,,,
VTM-000310,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p847906_138_raw.jpg,ilmenite,target_mineral,0,847906,DG-c6200b22741f,train,exclude,microscope_image,,,
VTM-000783,raw_positive/magnetite_proxy/magnetite_mindat_p134642_1327_raw.jpg,magnetite,target_mineral,0,134642,DG-9ccb51cb0fa8,val,exclude,wrong_label,,,
VTM-000819,raw_positive/magnetite_proxy/magnetite_mindat_p1378981_1135_raw.jpg,magnetite,target_mineral,0,1378981,DG-a8a0f6dcdc40,test,exclude,microscope_image,,,
VTM-000924,raw_positive/magnetite_proxy/magnetite_mindat_p1517575_1139_raw.jpg,magnetite,target_mineral,0,1517575,DG-47aebd820b64,train,exclude,microscope_image,,,
VTM-001567,raw_positive/magnetite_proxy/magnetite_mindat_p838345_634_raw.jpg,magnetite,target_mineral,0,838345,DG-7832d33d6fe4,train,exclude,microscope_image,,,
VTM-003460,raw_negative/gangue_negative/quartz/quartz_mindat_p1125400_page7_008_raw.jpg,quartz,gangue_negative,2,1125400,DG-e96452f60267,train,exclude,,,,
VTM-003623,raw_negative/gangue_negative/quartz/quartz_mindat_p846285_page2_020_raw.jpg,quartz,gangue_negative,2,846285,DG-bd9ebc11a8fc,train,exclude,microscope_image,,,
VTM-004203,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1245983_page4_001_raw.jpg,chalcopyrite,metallic_hard_negative,3,1245983,DG-b8fbe6502090,train,exclude,microscope_image,,,
VTM-004209,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1301081_page7_004_raw.jpg,chalcopyrite,metallic_hard_negative,3,1301081,DG-17021d22a929,train,exclude,microscope_image,,,
VTM-004223,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1361594_page7_024_raw.jpg,chalcopyrite,metallic_hard_negative,3,1361594,DG-b1014726e89c,val,exclude,microscope_image,,,
VTM-004244,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1504887_page7_023_raw.jpg,chalcopyrite,metallic_hard_negative,3,1504887,DG-c9125a3f4c4d,val,exclude,microscope_image,,,
VTM-004261,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1694148_page7_029_raw.jpg,chalcopyrite,metallic_hard_negative,3,1694148,DG-ebf4b2913dc1,train,exclude,microscope_image,,,
VTM-004265,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1694337_page7_030_raw.jpg,chalcopyrite,metallic_hard_negative,3,1694337,DG-f9d478a48d2c,train,exclude,microscope_image,,,
