review_order,contact_sheet,tile_index,image_id,relative_path,mineral_label,four_class_label,four_class_id,mindat_photo_id,split_group_id,split,review_decision,review_reason,expert_note,reviewer,review_date
1,anatase_001.jpg,1,VTM-005338,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p004587_188_raw.jpg,anatase,ti_bearing_negative,1,4587,DG-b0ae07246945,test,keep,,,,
2,anatase_001.jpg,2,VTM-005346,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p006866_053_raw.jpg,anatase,ti_bearing_negative,1,6866,DG-a212476f0e24,train,keep,,,,
3,anatase_001.jpg,3,VTM-005347,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p008684_199_raw.jpg,anatase,ti_bearing_negative,1,8684,DG-42bdb7cc3c63,val,keep,,,,
4,anatase_001.jpg,4,VTM-005352,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p010399_149_raw.jpg,anatase,ti_bearing_negative,1,10399,DG-d661883affb5,train,keep,,,,
5,anatase_001.jpg,5,VTM-005365,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p011452_222_raw.jpg,anatase,ti_bearing_negative,1,11452,DG-a1437ff40cf2,train,keep,,,,
6,anatase_001.jpg,6,VTM-005372,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p012239_015_raw.jpg,anatase,ti_bearing_negative,1,12239,DG-b8c2d02d8565,train,keep,,,,
7,anatase_001.jpg,7,VTM-005391,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p022090_209_raw.jpg,anatase,ti_bearing_negative,1,22090,DG-b1a569d70870,val,keep,,,,
8,anatase_001.jpg,8,VTM-005397,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p025320_201_raw.jpg,anatase,ti_bearing_negative,1,25320,DG-d433d69a75eb,train,keep,,,,
9,anatase_001.jpg,9,VTM-005411,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p028821_123_raw.jpg,anatase,ti_bearing_negative,1,28821,DG-b94b31ef413b,val,keep,,,,
10,anatase_001.jpg,10,VTM-005434,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p035408_204_raw.jpg,anatase,ti_bearing_negative,1,35408,DG-4f427de763e3,val,keep,,,,
11,anatase_001.jpg,11,VTM-005467,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p044300_050_raw.jpg,anatase,ti_bearing_negative,1,44300,DG-9c63372a2b99,train,keep,,,,
12,anatase_001.jpg,12,VTM-005556,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p079094_107_raw.jpg,anatase,ti_bearing_negative,1,79094,DG-5ac03a5b098a,train,keep,,,,
13,anatase_001.jpg,13,VTM-005611,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p1001182_019_raw.jpg,anatase,ti_bearing_negative,1,1001182,DG-0075b5b5203e,train,keep,,,,
14,anatase_001.jpg,14,VTM-005612,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p1006955_062_raw.jpg,anatase,ti_bearing_negative,1,1006955,DG-bbf7cebfb45c,val,keep,,,,
15,anatase_001.jpg,15,VTM-005626,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p104212_184_raw.jpg,anatase,ti_bearing_negative,1,104212,DG-ced3f034947d,train,keep,,,,
16,anatase_001.jpg,16,VTM-005653,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p109200_067_raw.jpg,anatase,ti_bearing_negative,1,109200,DG-cabec6b110ac,train,keep,,,,
